County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bexar,29,1072,291072,325,3382,2049,47.3,110
Bexar,29,1088,291088,341,1646,1026,88.3,58
Bexar,29,2011,292011,426,3686,2065,81.7,119
Bexar,29,2012,292012,427,2990,1555,89.3,55
Bexar,29,2015,292015,430,3683,1926,90.1,65
Bexar,29,2016,292016,431,2526,1339,90.8,49
Bexar,29,2017,292017,432,2364,1217,90.5,35
Bexar,29,2019,292019,434,2636,1430,91.0,69
Bexar,29,2020,292020,435,9367,4063,76.5,148
Bexar,29,2021,292021,436,5490,2785,87.9,152
Bexar,29,2022,292022,437,2866,1623,87.5,105
Bexar,29,2023,292023,438,3841,2964,78.9,157
Bexar,29,2024,292024,439,4262,1889,77.1,124
Bexar,29,2029,292029,444,3279,1332,87.2,34
Bexar,29,2030,292030,445,3001,1548,89.6,68
Bexar,29,2032,292032,447,1158,511,86.3,21
Bexar,29,2037,292037,452,1945,1502,37.4,223
Bexar,29,2040,292040,455,4831,2499,67.1,250
Bexar,29,2041,292041,456,4356,2791,79.7,243
Bexar,29,2042,292042,457,4245,2113,83.1,108
Bexar,29,2049,292049,464,5639,2956,72.9,264
Bexar,29,2050,292050,465,3103,1763,63.7,189
Bexar,29,2061,292061,476,2015,1054,40.4,90
Bexar,29,2066,292066,482,4872,3622,38.9,481
Bexar,29,2069,292069,485,6117,2977,55.5,228
Bexar,29,2071,292071,487,1711,907,88.6,25
Bexar,29,2074,292074,490,1976,1126,90.0,32
Bexar,29,2076,292076,492,3491,2352,42.6,224
Bexar,29,2077,292077,493,3297,2275,46.1,289
Bexar,29,2079,292079,495,1633,695,88.2,21
Bexar,29,2084,292084,500,4320,3341,30.6,720
Bexar,29,2086,292086,502,5054,3162,41.7,360
Bexar,29,2087,292087,503,2414,1802,42.2,316
Bexar,29,2089,292089,505,1015,523,90.2,8
Bexar,29,2090,292090,506,4807,1972,49.2,87
Bexar,29,2099,292099,515,2714,1595,36.1,202
Bexar,29,2101,292101,517,140,64,31.3,13
Bexar,29,2103,292103,519,563,320,88.8,8
Bexar,29,2108,292108,524,1549,1155,32.2,200
Bexar,29,2112,292112,528,2384,1709,53.1,248
Bexar,29,2126,292126,542,3263,1568,54.5,103
Bexar,29,2128,292128,544,4444,2024,82.5,97
Bexar,29,2130,292130,546,3147,1967,47.3,175
Bexar,29,2139,292139,555,2663,1905,44.9,155
Bexar,29,2140,292140,556,3468,1717,52.5,112
Bexar,29,2141,292141,557,1957,1348,44.2,144
Bexar,29,2143,292143,559,3683,2202,44.0,298
Bexar,29,2151,292151,567,309,66,53.0,0
Bexar,29,2157,292157,573,0,0,0.0,0
Bexar,29,2159,292159,575,308,198,42.9,10
Bexar,29,2161,292161,577,248,201,26.4,40
Bexar,29,2163,292163,579,3676,2503,41.0,282
Bexar,29,2164,292164,580,3612,2162,37.0,132
Bexar,29,2165,292165,581,3887,2857,35.8,338
Bexar,29,2166,292166,582,2268,1679,43.4,219
Bexar,29,2170,292170,586,6304,3478,33.6,267
Bexar,29,2171,292171,587,2490,1596,40.0,159
Bexar,29,2174,292174,590,3566,2515,34.6,283
Bexar,29,2176,292176,592,1670,1216,35.4,96

