County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bexar,29,1011,291011,264,2169,1179,87.4,110
Bexar,29,1014,291014,267,2642,1436,86.4,81
Bexar,29,1015,291015,268,2640,1486,90.4,84
Bexar,29,1016,291016,269,1976,1254,87.8,87
Bexar,29,1017,291017,270,498,264,56.4,2
Bexar,29,1018,291018,271,1888,1003,85.0,88
Bexar,29,1020,291020,273,2933,1726,73.5,212
Bexar,29,1021,291021,274,3139,1744,85.5,163
Bexar,29,1022,291022,275,1643,985,85.6,78
Bexar,29,1023,291023,276,4531,2673,89.7,217
Bexar,29,1028,291028,281,1407,787,82.5,67
Bexar,29,1044,291044,297,3117,2127,87.7,227
Bexar,29,1045,291045,298,7715,3427,83.8,273
Bexar,29,1046,291046,299,4164,2127,83.4,188
Bexar,29,1047,291047,300,3189,1796,84.1,155
Bexar,29,1048,291048,301,3996,2309,81.0,259
Bexar,29,1049,291049,302,5228,2673,83.2,286
Bexar,29,1050,291050,303,1485,860,79.2,108
Bexar,29,1051,291051,304,3743,2140,73.2,248
Bexar,29,1052,291052,305,3632,2124,76.1,237
Bexar,29,1053,291053,306,499,260,72.3,25
Bexar,29,1054,291054,307,4349,2592,77.4,326
Bexar,29,1056,291056,309,7039,3312,76.0,400
Bexar,29,1057,291057,310,5964,2544,59.8,230
Bexar,29,1058,291058,311,5275,2814,66.1,317
Bexar,29,1059,291059,312,1820,503,66.2,32
Bexar,29,1063,291063,316,4227,2340,66.2,193
Bexar,29,1065,291065,318,4461,2429,70.2,235
Bexar,29,1066,291066,319,1723,857,74.1,37
Bexar,29,1097,291097,350,1488,853,87.0,91
Bexar,29,1102,291102,355,2115,1052,56.7,131
Bexar,29,1105,291105,358,2673,756,69.3,42
Bexar,29,1107,291107,360,6767,3210,69.3,372
Bexar,29,1115,291115,368,2083,1189,84.0,155
Bexar,29,1117,291117,370,638,366,78.7,48
Bexar,29,1123,291123,377,1340,620,62.9,63
Bexar,29,1124,291124,378,397,234,81.6,21
Bexar,29,1127,291127,381,1082,631,84.9,52
Bexar,29,1132,291132,386,926,557,68.0,69
Bexar,29,1159,291159,415,611,346,84.7,31
Bexar,29,3087,293087,694,2390,1748,27.2,253
Bexar,29,3103,293103,710,1447,813,33.5,88
Bexar,29,3105,293105,712,5326,3521,34.2,526
Bexar,29,4057,294057,871,1950,1714,13.0,531
Bexar,29,4058,294058,872,3182,2061,23.8,293
Bexar,29,4071,294071,885,1897,1530,12.5,384
Bexar,29,4072,294072,886,4254,3044,26.1,416
Bexar,29,4073,294073,887,3092,1780,48.0,174
Bexar,29,4074,294074,888,4059,2307,53.1,224
Bexar,29,4081,294081,895,1280,852,5.8,14
Bexar,29,4086,294086,900,1022,546,45.4,55
Bexar,29,4097,294097,911,4251,2255,26.7,194
Bexar,29,4098,294098,912,2894,1732,35.4,215
Bexar,29,4103,294103,917,13,0,0.0,0
Bexar,29,4104,294104,918,3739,2184,36.5,226
Bexar,29,4105,294105,919,1709,1198,33.9,171
Bexar,29,4108,294108,922,6844,3781,34.3,400
Bexar,29,4121,294121,935,462,213,29.1,24
Bexar,29,4126,294126,940,3263,1812,20.3,239
Bexar,29,4129,294129,943,206,132,51.5,26
Bexar,29,4151,294151,965,803,610,16.9,109
Bexar,29,4153,294153,967,339,161,46.6,11
Bexar,29,4158,294158,972,990,564,21.8,19
Bexar,29,4165,294165,979,177,139,33.8,9
Bexar,29,4179,294179,993,4111,2921,33.1,456
Bexar,29,4180,294180,994,8,4,75.0,0
Bexar,29,4187,294187,1001,0,0,0.0,0
Bexar,29,4199,294199,1013,3124,1436,35.5,91
Bexar,29,4200,294200,1014,5204,2812,68.6,0
Bexar,29,4202,294202,1016,5,0,0.0,0
Bexar,29,4212,294212,1026,7,0,0.0,0
Bexar,29,4214,294214,1028,2999,1635,68.2,177
Bexar,29,4215,294215,1029,375,205,58.5,21
Bexar,29,4216,294216,1030,1794,809,76.1,81
Bexar,29,4224,294224,1038,0,0,0.0,0
Bexar,29,4225,294225,1039,915,655,29.6,96
Bexar,29,4226,294226,1040,228,174,8.6,24
Bexar,29,4227,294227,1041,0,0,0.0,0

