County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Garza,169,0002,1690002,3952,1040,712,18.3,37
Garza,169,0003,1690003,3953,2696,653,34.8,26
Garza,169,0004,1690004,3954,889,472,51.1,16
Garza,169,0005,1690005,3955,166,124,23.4,1
Garza,169,0006,1690006,3956,169,135,5.9,4
Hall,191,0101,1910101,4185,713,446,26.0,12
Hall,191,0201,1910201,4186,95,105,22.9,9
Hall,191,0202,1910202,4187,609,419,20.0,12
Hall,191,0301,1910301,4188,187,133,18.0,7
Hall,191,0302,1910302,4189,517,321,17.8,13
Hall,191,0401,1910401,4190,385,313,16.3,29
Hall,191,0402,1910402,4191,319,191,24.1,7
Hardeman,197,0001,1970001,4211,881,635,9.8,46
Hardeman,197,0002,1970002,4212,882,564,13.8,23
Hardeman,197,0003,1970003,4213,873,649,15.9,42
Hardeman,197,0004,1970004,4214,913,634,11.4,41
Haskell,207,0001,2070001,5440,578,423,14.9,40
Haskell,207,0002,2070002,5441,1506,668,18.0,44
Haskell,207,0003,2070003,5442,882,624,25.6,26
Haskell,207,0004,2070004,5443,414,297,20.2,13
Haskell,207,0005,2070005,5444,584,374,18.2,29
Haskell,207,0006,2070006,5445,500,339,14.5,11
Haskell,207,0007,2070007,5446,165,112,25.0,7
Haskell,207,0008,2070008,5447,212,139,17.3,9
Haskell,207,0009,2070009,5448,353,252,7.9,10
Haskell,207,0010,2070010,5449,222,142,9.9,8
Jack,237,0001,2370001,6011,2845,1153,7.9,219
Jack,237,0002,2370002,6012,1579,1127,3.5,124
Jack,237,0003,2370003,6013,296,245,10.2,52
Jack,237,0004,2370004,6014,1022,827,4.6,206
Jack,237,0005,2370005,6015,782,674,3.0,103
Jack,237,0006,2370006,6016,1948,1225,5.6,224
Kent,263,0101,2630101,6304,283,189,12.7,20
Kent,263,0201,2630201,6305,46,36,8.3,4
Kent,263,0202,2630202,6306,113,97,5.2,6
Kent,263,0301,2630301,6307,88,93,10.8,7
Kent,263,0302,2630302,6308,46,50,4.0,5
Kent,263,0401,2630401,6309,177,130,16.9,10
King,269,0001,2690001,6337,64,55,1.8,4
King,269,0002,2690002,6338,67,30,20.0,10
King,269,0003,2690003,6339,70,47,4.3,6
King,269,0004,2690004,6340,64,50,6.0,2
Montague,337,0002,3370002,6903,3203,2352,2.8,121
Montague,337,0003,3370003,6904,1924,1355,5.0,75
Montague,337,0004,3370004,6905,1154,688,6.5,21
Montague,337,0005,3370005,6906,1746,1196,5.9,54
Montague,337,0006,3370006,6907,1489,971,4.0,59
Montague,337,0007,3370007,6908,1309,993,2.5,71
Montague,337,0008,3370008,6909,1052,854,4.6,21
Montague,337,0009,3370009,6910,1568,1149,2.6,133
Montague,337,0010,3370010,6911,1762,1120,9.1,113
