County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Bell,27,0101,270101,189,Killeen Mayor,Blackstone,,N,17
Bell,27,0102,270102,190,Killeen Mayor,Blackstone,,N,14
Bell,27,0103,270103,191,Killeen Mayor,Blackstone,,N,6
Bell,27,0104,270104,192,Killeen Mayor,Blackstone,,N,15
Bell,27,0105,270105,193,Killeen Mayor,Blackstone,,N,8
Bell,27,0106,270106,194,Killeen Mayor,Blackstone,,N,152
Bell,27,0107,270107,195,Killeen Mayor,Blackstone,,N,1
Bell,27,0108,270108,196,Killeen Mayor,Blackstone,,N,5
Bell,27,0109,270109,197,Killeen Mayor,Blackstone,,N,29
Bell,27,0110,270110,198,Killeen Mayor,Blackstone,,N,10
Bell,27,0111,270111,199,Killeen Mayor,Blackstone,,N,15
Bell,27,0113,270113,200,Killeen Mayor,Blackstone,,N,13
Bell,27,0114,270114,201,Killeen Mayor,Blackstone,,N,16
Bell,27,0115,270115,202,Killeen Mayor,Blackstone,,N,24
Bell,27,0116,270116,203,Killeen Mayor,Blackstone,,N,61
Bell,27,0117,270117,204,Killeen Mayor,Blackstone,,N,0
Bell,27,0118,270118,205,Killeen Mayor,Blackstone,,N,10
Bell,27,0119,270119,206,Killeen Mayor,Blackstone,,N,8
Bell,27,0201,270201,207,Killeen Mayor,Blackstone,,N,18
Bell,27,0202,270202,208,Killeen Mayor,Blackstone,,N,25
Bell,27,0203,270203,209,Killeen Mayor,Blackstone,,N,28
Bell,27,0204,270204,210,Killeen Mayor,Blackstone,,N,16
Bell,27,0205,270205,211,Killeen Mayor,Blackstone,,N,55
Bell,27,0206,270206,212,Killeen Mayor,Blackstone,,N,33
Bell,27,0207,270207,213,Killeen Mayor,Blackstone,,N,39
Bell,27,0208,270208,214,Killeen Mayor,Blackstone,,N,37
Bell,27,0209,270209,215,Killeen Mayor,Blackstone,,N,22
Bell,27,0210,270210,216,Killeen Mayor,Blackstone,,N,26
Bell,27,0211,270211,217,Killeen Mayor,Blackstone,,N,11
Bell,27,0212,270212,218,Killeen Mayor,Blackstone,,N,7
Bell,27,0213,270213,219,Killeen Mayor,Blackstone,,N,33
Bell,27,0214,270214,220,Killeen Mayor,Blackstone,,N,31
Bell,27,0215,270215,221,Killeen Mayor,Blackstone,,N,33
Bell,27,0216,270216,222,Killeen Mayor,Blackstone,,N,17
Bell,27,0301,270301,223,Killeen Mayor,Blackstone,,N,15
Bell,27,0302,270302,224,Killeen Mayor,Blackstone,,N,24
Bell,27,0303,270303,225,Killeen Mayor,Blackstone,,N,11
Bell,27,0304,270304,226,Killeen Mayor,Blackstone,,N,1
Bell,27,0305,270305,227,Killeen Mayor,Blackstone,,N,12
Bell,27,0306,270306,228,Killeen Mayor,Blackstone,,N,7
Bell,27,0307,270307,229,Killeen Mayor,Blackstone,,N,12
Bell,27,0308,270308,230,Killeen Mayor,Blackstone,,N,21
Bell,27,0309,270309,231,Killeen Mayor,Blackstone,,N,4
Bell,27,0310,270310,232,Killeen Mayor,Blackstone,,N,1
Bell,27,0311,270311,233,Killeen Mayor,Blackstone,,N,14
Bell,27,0312,270312,234,Killeen Mayor,Blackstone,,N,6
Bell,27,0313,270313,235,Killeen Mayor,Blackstone,,N,22
Bell,27,0314,270314,236,Killeen Mayor,Blackstone,,N,9
Bell,27,0315,270315,237,Killeen Mayor,Blackstone,,N,15
Bell,27,0317,270317,238,Killeen Mayor,Blackstone,,N,5
Bell,27,0318,270318,239,Killeen Mayor,Blackstone,,N,26
Bell,27,0319,270319,240,Killeen Mayor,Blackstone,,N,18
Bell,27,0401,270401,241,Killeen Mayor,Blackstone,,N,22
Bell,27,0402,270402,242,Killeen Mayor,Blackstone,,N,35
Bell,27,0404,270404,243,Killeen Mayor,Blackstone,,N,40
