County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Nueces,355,0113,3550113,7263,1001,439,68.6,0
Nueces,355,0114,3550114,7264,1312,665,79.2,0
Nueces,355,0115,3550115,7265,3279,1842,37.6,0
Nueces,355,0116,3550116,7266,7233,3494,48.6,0
Nueces,355,0117,3550117,7267,4699,2917,15.3,0
Nueces,355,0118,3550118,7268,4492,2524,60.1,0
Nueces,355,0119,3550119,7269,5399,2984,35.5,0
Nueces,355,0120,3550120,7270,3542,1951,43.3,0
Nueces,355,0121,3550121,7271,2838,1454,53.0,0
Nueces,355,0122,3550122,7272,6052,2976,24.5,0
Nueces,355,0123,3550123,7273,3282,1938,40.2,0
Nueces,355,0124,3550124,7274,4836,2811,42.0,0
Nueces,355,0125,3550125,7275,4971,1924,46.4,0
Nueces,355,0126,3550126,7276,7016,1561,36.7,0
Nueces,355,0127,3550127,7277,1949,993,33.0,0
Nueces,355,0128,3550128,7278,4541,1836,38.3,0
Nueces,355,0129,3550129,7279,5875,2130,40.4,0
Travis,453,0100,4530100,8783,3863,2727,16.4,922
Travis,453,0101,4530101,8784,4278,2576,23.8,888
Travis,453,0102,4530102,8785,3485,2501,11.6,994
Travis,453,0103,4530103,8786,2903,2179,13.1,943
Travis,453,0104,4530104,8787,3739,3028,8.9,1649
Travis,453,0105,4530105,8788,3572,2372,14.9,943
Travis,453,0106,4530106,8789,4211,1730,12.8,913
Travis,453,0107,4530107,8790,4321,1932,12.0,1037
Travis,453,0110,4530110,8791,4509,2134,13.5,745
Travis,453,0111,4530111,8792,3836,2280,9.2,868
Travis,453,0112,4530112,8793,2840,1750,15.5,698
Travis,453,0113,4530113,8794,3375,2357,17.1,1071
Travis,453,0114,4530114,8795,3048,1343,19.0,721
Travis,453,0115,4530115,8796,1799,520,39.4,147
Travis,453,0116,4530116,8797,6507,2883,19.5,1046
Travis,453,0117,4530117,8798,3484,2506,15.0,1081
Travis,453,0120,4530120,8799,4494,1602,21.2,528
Travis,453,0121,4530121,8800,4435,1302,17.9,406
Travis,453,0122,4530122,8801,6764,1536,29.2,321
Travis,453,0123,4530123,8802,3291,946,25.5,76
Travis,453,0124,4530124,8803,6441,1551,25.3,334
Travis,453,0125,4530125,8804,1723,470,30.4,20
Travis,453,0126,4530126,8805,6593,1602,27.8,51
Travis,453,0127,4530127,8806,7529,1668,33.2,0
Travis,453,0130,4530130,8807,10378,3560,30.5,1262
Travis,453,0131,4530131,8808,8935,2134,25.0,641
Travis,453,0132,4530132,8809,14486,3793,29.4,993
Travis,453,0133,4530133,8810,5445,2033,30.8,674
Travis,453,0134,4530134,8811,4065,1688,18.5,469
Travis,453,0135,4530135,8812,2074,1230,13.3,551
Travis,453,0136,4530136,8813,2661,1632,14.5,702
Travis,453,0137,4530137,8814,5604,2523,24.2,893
Travis,453,0138,4530138,8815,7916,3319,17.3,937
Travis,453,0140,4530140,8816,856,194,34.0,77
Travis,453,0141,4530141,8817,7876,2261,16.6,902
Travis,453,0142,4530142,8818,4318,1244,16.3,0
Travis,453,0143,4530143,8819,7037,1780,23.6,0
Travis,453,0144,4530144,8820,3985,919,28.9,0
Travis,453,0145,4530145,8821,2878,1122,17.1,0
Travis,453,0164,4530164,8837,4599,2651,18.5,0
Travis,453,0170,4530170,8839,6411,2803,25.2,1
Travis,453,0171,4530171,8840,5747,2878,14.1,0
Travis,453,0175,4530175,8844,32,7,71.4,0
Travis,453,0176,4530176,8845,86,27,18.5,0
Travis,453,0180,4530180,8848,5960,2456,23.7,39
Travis,453,0181,4530181,8849,5335,1973,16.1,66
Travis,453,0182,4530182,8850,5655,1523,36.5,47
Travis,453,0183,4530183,8851,2536,776,21.3,25
Travis,453,0184,4530184,8852,5358,1748,16.2,56
Travis,453,0185,4530185,8853,1949,520,41.3,18
Travis,453,0186,4530186,8854,5857,2009,14.7,440
Travis,453,0190,4530190,8855,5243,2150,16.5,1
Travis,453,0191,4530191,8856,3851,2542,13.1,0
Travis,453,0192,4530192,8857,4913,2202,15.8,0
Travis,453,0193,4530193,8858,4553,2090,14.8,0
Travis,453,0194,4530194,8859,4066,1888,14.6,0
