County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bexar,29,1001,291001,254,605,420,51.0,48
Bexar,29,1002,291002,255,1039,623,49.1,15
Bexar,29,1003,291003,256,3399,1566,77.3,86
Bexar,29,1004,291004,257,1689,887,85.2,31
Bexar,29,1005,291005,258,1516,788,87.7,16
Bexar,29,1006,291006,259,4005,2136,90.6,88
Bexar,29,1007,291007,260,2078,1287,89.4,70
Bexar,29,1008,291008,261,2587,1754,59.0,175
Bexar,29,1010,291010,263,910,628,75.5,28
Bexar,29,1012,291012,265,4222,2078,64.5,112
Bexar,29,1013,291013,266,4354,2373,89.5,109
Bexar,29,1024,291024,277,5007,2876,55.5,98
Bexar,29,1029,291029,282,3653,1886,87.6,97
Bexar,29,1031,291031,284,3035,1441,88.4,54
Bexar,29,1032,291032,285,4117,2478,90.2,76
Bexar,29,1033,291033,286,4788,1874,65.0,52
Bexar,29,1035,291035,288,9990,731,10.1,0
Bexar,29,1038,291038,291,6295,2547,65.9,96
Bexar,29,1043,291043,296,2774,1358,69.3,79
Bexar,29,1055,291055,308,3105,1773,47.8,81
Bexar,29,1070,291070,323,2528,1038,62.5,40
Bexar,29,1071,291071,324,3394,1708,54.6,72
Bexar,29,1072,291072,325,3382,1642,50.1,55
Bexar,29,1074,291074,327,52,24,75.0,1
Bexar,29,1076,291076,329,5222,2748,52.6,147
Bexar,29,1077,291077,330,2745,1659,87.8,85
Bexar,29,1078,291078,331,924,494,91.9,19
Bexar,29,1079,291079,332,4942,2109,40.7,51
Bexar,29,1080,291080,333,7340,1875,49.2,31
Bexar,29,1082,291082,335,5691,2392,65.4,43
Bexar,29,1084,291084,337,4461,2071,70.1,135
Bexar,29,1085,291085,338,4158,1632,66.7,98
Bexar,29,1086,291086,339,4311,2229,59.8,241
Bexar,29,1087,291087,340,3780,1479,70.5,81
Bexar,29,1088,291088,341,1646,1004,91.3,44
Bexar,29,1089,291089,342,96,57,91.2,2
Bexar,29,1093,291093,346,2924,619,36.2,57
Bexar,29,1096,291096,349,384,41,48.8,3
Bexar,29,1098,291098,351,1964,1155,80.3,68
Bexar,29,1099,291099,352,4202,2170,51.8,89
Bexar,29,1104,291104,357,5214,2971,51.3,219
Bexar,29,1111,291111,364,5452,3124,48.5,139
Bexar,29,1112,291112,365,5079,1635,59.2,30
Bexar,29,1113,291113,366,5119,2014,30.5,84
Bexar,29,1119,291119,372,318,137,82.5,2
Bexar,29,1120,291120,373,409,137,92.0,1
Bexar,29,1126,291126,380,0,0,0.0,0
Bexar,29,1136,291136,390,493,294,51.7,7
