County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Fort Bend,157,2017,1572017,3663,Houston Mayor,Drab,,N,4
Fort Bend,157,2023,1572023,3666,Houston Mayor,Drab,,N,2
Fort Bend,157,2031,1572031,3669,Houston Mayor,Drab,,N,0
Fort Bend,157,2036,1572036,3672,Houston Mayor,Drab,,N,1
Fort Bend,157,2050,1572050,3673,Houston Mayor,Drab,,N,0
Fort Bend,157,2051,1572051,3674,Houston Mayor,Drab,,N,1
Fort Bend,157,2052,1572052,3675,Houston Mayor,Drab,,N,2
Fort Bend,157,2055,1572055,3676,Houston Mayor,Drab,,N,0
Fort Bend,157,2056,1572056,3677,Houston Mayor,Drab,,N,0
Fort Bend,157,2081,1572081,3685,Houston Mayor,Drab,,N,0
Fort Bend,157,2116,1572116,3698,Houston Mayor,Drab,,N,1
Fort Bend,157,2123,1572123,3701,Houston Mayor,Drab,,N,3
Fort Bend,157,3043,1573043,3718,Houston Mayor,Drab,,N,1
Fort Bend,157,2017,1572017,3663,Houston Mayor,Dick,,N,5
Fort Bend,157,2023,1572023,3666,Houston Mayor,Dick,,N,4
Fort Bend,157,2031,1572031,3669,Houston Mayor,Dick,,N,4
Fort Bend,157,2036,1572036,3672,Houston Mayor,Dick,,N,2
Fort Bend,157,2050,1572050,3673,Houston Mayor,Dick,,N,0
Fort Bend,157,2051,1572051,3674,Houston Mayor,Dick,,N,0
Fort Bend,157,2052,1572052,3675,Houston Mayor,Dick,,N,0
Fort Bend,157,2055,1572055,3676,Houston Mayor,Dick,,N,0
Fort Bend,157,2056,1572056,3677,Houston Mayor,Dick,,N,12
Fort Bend,157,2081,1572081,3685,Houston Mayor,Dick,,N,0
Fort Bend,157,2116,1572116,3698,Houston Mayor,Dick,,N,3
Fort Bend,157,2123,1572123,3701,Houston Mayor,Dick,,N,0
Fort Bend,157,3043,1573043,3718,Houston Mayor,Dick,,N,7
Fort Bend,157,2017,1572017,3663,Houston Mayor,Cook,,N,2
Fort Bend,157,2023,1572023,3666,Houston Mayor,Cook,,N,3
Fort Bend,157,2031,1572031,3669,Houston Mayor,Cook,,N,1
Fort Bend,157,2036,1572036,3672,Houston Mayor,Cook,,N,0
Fort Bend,157,2050,1572050,3673,Houston Mayor,Cook,,N,0
Fort Bend,157,2051,1572051,3674,Houston Mayor,Cook,,N,1
Fort Bend,157,2052,1572052,3675,Houston Mayor,Cook,,N,1
Fort Bend,157,2055,1572055,3676,Houston Mayor,Cook,,N,0
Fort Bend,157,2056,1572056,3677,Houston Mayor,Cook,,N,0
Fort Bend,157,2081,1572081,3685,Houston Mayor,Cook,,N,0
Fort Bend,157,2116,1572116,3698,Houston Mayor,Cook,,N,4
Fort Bend,157,2123,1572123,3701,Houston Mayor,Cook,,N,0
Fort Bend,157,3043,1573043,3718,Houston Mayor,Cook,,N,2
Fort Bend,157,2017,1572017,3663,Houston Mayor,Bergess Douglas,,N,4
Fort Bend,157,2023,1572023,3666,Houston Mayor,Bergess Douglas,,N,4
