County,FIPS,VTD,CNTYVTD,vtdkey,TotalPop,TotalVR,SpanishSurnamePercent,TotalTO
Bell,27,0106,270106,194,7834,4458,14.9,2265
Bell,27,0109,270109,197,5373,3166,14.1,1434
Bell,27,0110,270110,198,10130,3314,13.0,949
Bell,27,0116,270116,203,3016,1700,16.0,866
Bell,27,0117,270117,204,0,0,0.0,0
Bell,27,0201,270201,207,6365,3284,12.6,1686
Bell,27,0203,270203,209,4727,3556,8.6,2858
Bell,27,0204,270204,210,4566,2312,14.7,1025
Bell,27,0205,270205,211,9149,5225,15.2,2649
Bell,27,0206,270206,212,4421,2731,14.2,1517
Bell,27,0207,270207,213,6975,4114,16.3,2065
Bell,27,0208,270208,214,7450,4964,15.7,2862
Bell,27,0209,270209,215,6763,4538,11.5,2927
Bell,27,0210,270210,216,6491,4076,13.0,2537
Bell,27,0211,270211,217,2373,1165,11.9,519
Bell,27,0212,270212,218,1558,1246,10.0,802
Bell,27,0213,270213,219,5215,4153,5.1,3343
Bell,27,0214,270214,220,7589,4658,14.2,2928
Bell,27,0215,270215,221,7458,4923,12.3,2995
Bell,27,0216,270216,222,5884,3703,11.7,505
Bell,27,0401,270401,241,5169,2934,12.4,1770
Bell,27,0402,270402,242,8273,4725,13.3,2866
Bell,27,0404,270404,243,9053,4830,16.2,2325
Bell,27,0405,270405,244,10012,5209,15.5,2509
Bell,27,0406,270406,245,7387,3620,14.8,1562
Bell,27,0408,270408,246,9094,4900,14.7,2500
Bell,27,0409,270409,247,3505,2173,14.3,1392
Bell,27,0410,270410,248,8598,3601,17.1,1198
Bell,27,0412,270412,249,7055,4098,13.4,1934
Bell,27,0413,270413,250,8862,4469,13.5,2442
Bell,27,0414,270414,251,9210,4950,14.5,2405
Bell,27,0415,270415,252,7405,4197,13.3,2113
Bell,27,0419,270419,253,1594,1162,7.7,841
Collin,85,0030,850030,1663,6965,4632,12.0,3468
Collin,85,0087,850087,1720,6533,3142,1.7,2617
Collin,85,0092,850092,1725,6619,3752,12.0,2552
Collin,85,0101,850101,1734,6353,3849,7.3,2905
Collin,85,0111,850111,1744,3868,2362,3.7,1759
Collin,85,0117,850117,1750,7053,4315,8.0,3148
Collin,85,0118,850118,1751,6370,4396,6.0,3317
Collin,85,0127,850127,1760,5535,3812,9.6,2775
Collin,85,0134,850134,1767,6806,3685,8.8,2835
Collin,85,0146,850146,1779,7616,4836,9.1,3583
Collin,85,0177,850177,1810,4417,2340,6.7,1629
Collin,85,0184,850184,1817,5903,3092,8.1,2153
Collin,85,0209,850209,1842,2280,994,11.0,90
Collin,85,0212,850212,1845,4006,1829,5.3,1570
Collin,85,0220,850220,1853,9015,3946,9.3,3106
Collin,85,0225,850225,1858,6520,3671,5.9,2827
