County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Atascosa,13,0001,130001,96,State Sen 19,Flores,R,N,105
Atascosa,13,0003,130003,97,State Sen 19,Flores,R,N,111
Atascosa,13,0004,130004,98,State Sen 19,Flores,R,N,28
Atascosa,13,0005,130005,99,State Sen 19,Flores,R,N,57
Atascosa,13,0006,130006,100,State Sen 19,Flores,R,N,15
Atascosa,13,0007,130007,101,State Sen 19,Flores,R,N,121
Atascosa,13,0008,130008,102,State Sen 19,Flores,R,N,55
Atascosa,13,0009,130009,103,State Sen 19,Flores,R,N,107
Atascosa,13,0010,130010,104,State Sen 19,Flores,R,N,39
Atascosa,13,0011,130011,105,State Sen 19,Flores,R,N,109
Atascosa,13,0012,130012,106,State Sen 19,Flores,R,N,97
Atascosa,13,0013,130013,107,State Sen 19,Flores,R,N,239
Atascosa,13,0014,130014,108,State Sen 19,Flores,R,N,22
Atascosa,13,0015,130015,109,State Sen 19,Flores,R,N,190
Atascosa,13,0017,130017,110,State Sen 19,Flores,R,N,66
Atascosa,13,0018,130018,111,State Sen 19,Flores,R,N,110
Atascosa,13,0019,130019,112,State Sen 19,Flores,R,N,56
Atascosa,13,0020,130020,113,State Sen 19,Flores,R,N,564
Atascosa,13,0021,130021,114,State Sen 19,Flores,R,N,21
Atascosa,13,0022,130022,115,State Sen 19,Flores,R,N,89
Atascosa,13,0001,130001,96,State Sen 19,Gallego,D,N,30
Atascosa,13,0003,130003,97,State Sen 19,Gallego,D,N,40
Atascosa,13,0004,130004,98,State Sen 19,Gallego,D,N,29
Atascosa,13,0005,130005,99,State Sen 19,Gallego,D,N,46
Atascosa,13,0006,130006,100,State Sen 19,Gallego,D,N,11
Atascosa,13,0007,130007,101,State Sen 19,Gallego,D,N,46
Atascosa,13,0008,130008,102,State Sen 19,Gallego,D,N,19
Atascosa,13,0009,130009,103,State Sen 19,Gallego,D,N,35
Atascosa,13,0010,130010,104,State Sen 19,Gallego,D,N,8
Atascosa,13,0011,130011,105,State Sen 19,Gallego,D,N,43
Atascosa,13,0012,130012,106,State Sen 19,Gallego,D,N,44
Atascosa,13,0013,130013,107,State Sen 19,Gallego,D,N,62
Atascosa,13,0014,130014,108,State Sen 19,Gallego,D,N,2
Atascosa,13,0015,130015,109,State Sen 19,Gallego,D,N,90
Atascosa,13,0017,130017,110,State Sen 19,Gallego,D,N,132
Atascosa,13,0018,130018,111,State Sen 19,Gallego,D,N,50
Atascosa,13,0019,130019,112,State Sen 19,Gallego,D,N,14
Atascosa,13,0020,130020,113,State Sen 19,Gallego,D,N,132
Atascosa,13,0021,130021,114,State Sen 19,Gallego,D,N,3
Atascosa,13,0022,130022,115,State Sen 19,Gallego,D,N,23
Bexar,29,1009,291009,262,State Sen 19,Flores,R,N,32
Bexar,29,1011,291011,264,State Sen 19,Flores,R,N,18
Bexar,29,1014,291014,267,State Sen 19,Flores,R,N,5
Bexar,29,1015,291015,268,State Sen 19,Flores,R,N,12
Bexar,29,1016,291016,269,State Sen 19,Flores,R,N,14
