County,FIPS,VTD,cntyvtd,vtdkeyvalue,Office,Name,Party,Incumbent,Votes
Fort Bend,157,1004,1571004,3629,State Rep 28,Gates,R,N,693
Fort Bend,157,1005,1571005,3630,State Rep 28,Gates,R,N,288
Fort Bend,157,1006,1571006,3631,State Rep 28,Gates,R,N,1427
Fort Bend,157,1008,1571008,3632,State Rep 28,Gates,R,N,122
Fort Bend,157,1014,1571014,3634,State Rep 28,Gates,R,N,808
Fort Bend,157,1019,1571019,3635,State Rep 28,Gates,R,N,194
Fort Bend,157,1038,1571038,3636,State Rep 28,Gates,R,N,653
Fort Bend,157,1054,1571054,3638,State Rep 28,Gates,R,N,42
Fort Bend,157,1057,1571057,3639,State Rep 28,Gates,R,N,485
Fort Bend,157,1103,1571103,3641,State Rep 28,Gates,R,N,0
Fort Bend,157,1122,1571122,3643,State Rep 28,Gates,R,N,736
Fort Bend,157,1130,1571130,3644,State Rep 28,Gates,R,N,558
Fort Bend,157,1132,1571132,3645,State Rep 28,Gates,R,N,641
Fort Bend,157,1133,1571133,3646,State Rep 28,Gates,R,N,676
Fort Bend,157,1142,1571142,3647,State Rep 28,Gates,R,N,549
Fort Bend,157,1143,1571143,3648,State Rep 28,Gates,R,N,1092
Fort Bend,157,1144,1571144,3649,State Rep 28,Gates,R,N,780
Fort Bend,157,1145,1571145,3650,State Rep 28,Gates,R,N,288
Fort Bend,157,1146,1571146,3651,State Rep 28,Gates,R,N,391
Fort Bend,157,1148A,1571148A,3652,State Rep 28,Gates,R,N,1326
Fort Bend,157,1148B,1571148B,3653,State Rep 28,Gates,R,N,0
Fort Bend,157,1149,1571149,3654,State Rep 28,Gates,R,N,1243
Fort Bend,157,1156,1571156,3655,State Rep 28,Gates,R,N,562
Fort Bend,157,1159,1571159,3656,State Rep 28,Gates,R,N,147
Fort Bend,157,1160,1571160,3657,State Rep 28,Gates,R,N,103
Fort Bend,157,1165,1571165,3658,State Rep 28,Gates,R,N,482
Fort Bend,157,3071,1573071,3730,State Rep 28,Gates,R,N,38
Fort Bend,157,3125,1573125,3748,State Rep 28,Gates,R,N,0
Fort Bend,157,3126,1573126,3749,State Rep 28,Gates,R,N,52
Fort Bend,157,3139,1573139,3758,State Rep 28,Gates,R,N,56
Fort Bend,157,3147,1573147,3760,State Rep 28,Gates,R,N,179
Fort Bend,157,3155,1573155,3761,State Rep 28,Gates,R,N,107
Fort Bend,157,3174,1573174,3768,State Rep 28,Gates,R,N,108
Fort Bend,157,4066,1574066,3782,State Rep 28,Gates,R,N,186
Fort Bend,157,4069,1574069,3784,State Rep 28,Gates,R,N,262
Fort Bend,157,4082,1574082,3790,State Rep 28,Gates,R,N,745
Fort Bend,157,4083,1574083,3791,State Rep 28,Gates,R,N,276
Fort Bend,157,4095,1574095,3792,State Rep 28,Gates,R,N,247
Fort Bend,157,4100,1574100,3794,State Rep 28,Gates,R,N,157
Fort Bend,157,4101,1574101,3795,State Rep 28,Gates,R,N,150
Fort Bend,157,4106,1574106,3796,State Rep 28,Gates,R,N,170
Fort Bend,157,4113,1574113,3797,State Rep 28,Gates,R,N,0
Fort Bend,157,4117,1574117,3798,State Rep 28,Gates,R,N,71
Fort Bend,157,4150,1574150,3801,State Rep 28,Gates,R,N,285
Fort Bend,157,4167,1574167,3806,State Rep 28,Gates,R,N,0
Fort Bend,157,4170,1574170,3807,State Rep 28,Gates,R,N,9
Fort Bend,157,4173,1574173,3808,State Rep 28,Gates,R,N,73
Fort Bend,157,1004,1571004,3629,State Rep 28,Markowitz,D,N,324
