FID,OBJECTID,Place,Name,cdp_name,citycode,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
295,296,41580,Las Palmas II,Las Palmas II,41580,20,3,862,891,642,8,862,871,17,616,616,2,2,625,5022.205302319999646,793968.838623999967240
296,297,41582,Las Pilas,Las Pilas,41582,0,0,7,7,5,0,7,7,0,5,5,0,0,5,7425.816406420000021,2157107.281700000166893
297,298,41583,Las Quintas Fronterizas,Las Quintas Fronterizas,41583,10,1,2308,2326,1638,5,2309,2316,10,1625,1626,2,0,1628,6616.349680280000030,1427367.731279999949038
298,299,41660,La Tina Ranch,La Tina Ranch,41660,27,3,656,687,472,5,659,660,22,448,449,3,1,450,19965.247706599999219,18395707.027499999850988
299,300,41704,Laughlin AFB,Laughlin AFB,41704,1183,93,253,1673,1410,141,369,490,999,194,294,114,80,411,17881.498761499999091,16565361.780999999493361
300,301,41728,Laureles,Laureles,41728,127,5,3967,4111,2790,26,3969,3984,84,2693,2695,13,5,2706,15023.213404399999490,12555830.767599999904633
301,302,41782,La Victoria,La Victoria,41782,4,0,172,176,134,0,172,172,1,133,133,0,0,133,4395.792182729999695,791298.149984000017866
302,303,42244,Lelia Lake,Lelia Lake,42244,40,1,10,51,42,0,10,11,34,8,8,0,0,8,9084.177389829999811,2304681.776300000026822
303,304,42256,Leming,Leming,42256,190,2,642,841,613,1,642,651,152,457,457,0,0,461,20161.172024899999087,12468270.341000000014901
304,305,42616,Liberty City,Liberty City,42616,2199,18,270,2721,1981,157,410,522,1666,147,237,95,12,315,21177.203781799998978,15736035.890200000256300
305,306,42874,Lindsay,Lindsay,42874,8,4,435,452,310,0,435,444,7,297,297,0,3,303,6460.608698979999645,2324589.825920000206679
306,307,42880,Lingleville,Lingleville,42880,78,4,79,166,126,4,82,88,64,54,56,2,3,62,11445.030484999999317,2624509.946589999832213
307,308,42916,Linn,Linn,42916,116,1,614,733,573,1,614,617,101,471,471,0,0,472,59927.150743099999090,126205999.305999994277954
308,309,42952,Lipscomb,Lipscomb,42952,57,3,2,66,56,2,4,9,50,1,3,2,3,6,16105.285506399999576,9752680.487110000103712
309,310,43000,Little Cypress,Little Cypress,43000,1673,25,131,1968,1532,88,210,295,1330,80,129,51,22,202,33111.362755900001503,9928862.006829999387264
310,311,43150,Llano Grande,Llano Grande,43150,378,4,2564,2952,2218,12,2565,2574,369,1843,1843,5,3,1849,12842.935770300000513,4239617.305470000021160
311,312,43216,Lockett,Lockett,43216,89,5,76,173,126,2,78,84,77,46,46,0,3,49,11273.512350400000287,7765108.475809999741614
312,313,43432,Lolita,Lolita,43432,302,8,193,519,385,9,201,217,243,121,128,7,7,142,10635.797722799999974,6633812.824359999969602
313,314,43458,Loma Grande,Loma Grande,43458,3,5,127,135,90,2,127,132,3,85,85,1,4,87,2012.201459249999971,176064.638212999998359
314,315,43460,Loma Linda,Loma Linda,43460,38,0,106,149,108,3,108,111,36,69,71,2,0,72,8052.067057690000183,3240941.031549999956042
315,316,43462,Loma Linda East,Loma Linda East (Jim Wells),43462,7,0,280,305,221,1,280,298,7,200,200,1,0,214,17168.096062299999176,13312155.336500000208616
316,317,43463,Loma Linda East,Loma Linda East (Starr),43463,5,0,62,67,47,0,62,62,0,47,47,0,0,47,1284.544244550000030,98692.719428800002788
317,318,43465,Loma Linda West,Loma Linda West,43465,0,0,96,98,64,1,97,98,0,62,63,1,0,64,2435.576044209999964,317366.951194000022952
318,319,43474,Loma Vista,Loma Vista,43474,1,0,116,117,84,0,116,116,1,83,83,0,0,83,746.667141444999970,34210.900348000002850
319,320,43822,Longoria,Longoria,43822,0,1,78,81,61,2,80,81,0,59,60,1,0,61,835.390760544000045,43522.321716899998137
320,321,43948,Loop,Loop,43948,114,0,98,216,150,1,98,102,82,65,65,0,0,68,13121.361837399999786,9143951.116639999672771
321,322,43960,Lopeño,Lopeño,43960,1,1,66,70,37,2,66,69,1,36,36,2,0,36,8222.957554650000020,2120264.314220000058413
322,323,43972,Lopezville,Lopezville,43972,49,15,2290,2367,1677,9,2290,2318,37,1618,1618,3,11,1640,9758.711244019999867,2009731.217459999956191
323,324,44038,Los Altos,Los Altos,44038,4,1,171,175,125,0,171,171,0,125,125,0,1,125,2420.175571639999816,98483.156553900000290
324,325,44044,Los Alvarez,Los Alvarez,44044,2,1,240,247,186,0,240,245,0,182,182,0,1,186,2338.341671950000091,245128.195808999997098
325,326,44062,Los Angeles,Los Angeles,44062,1,3,107,108,69,0,107,107,1,68,68,0,2,68,2767.058045780000157,391152.364317999978084
326,327,44072,Los Arcos,Los Arcos,44072,0,1,82,83,57,0,82,83,0,56,56,0,1,57,3732.580933199999890,533967.431114000035450
327,328,44075,Los Arrieros,Los Arrieros,44075,1,0,41,43,29,0,41,42,1,28,28,0,0,28,1711.273530290000053,89047.081309500004863
328,329,44076,Los Barreras,Los Barreras,44076,5,0,272,278,194,1,273,273,1,192,193,1,0,193,4186.641342079999959,594641.542532999999821
329,330,44077,Los Centenarios,Los Centenarios,44077,0,1,47,49,33,1,47,49,0,31,31,0,1,33,4180.208843639999941,487035.433513000025414
330,331,44079,Los Corralitos,Los Corralitos,44079,3,0,32,36,33,1,32,33,3,29,29,0,0,30,1551.871030309999924,91708.293795399993542
331,332,44104,Los Ebanos,Los Ebanos (Hidalgo),44104,6,1,231,239,184,0,231,233,2,181,181,0,1,182,11382.846630199999709,1698079.460339999990538
332,333,44110,Los Ebanos,Los Ebanos (Starr),44110,0,0,281,281,199,1,281,281,0,199,199,1,0,199,1234.353634959999908,78328.745817300005001
333,334,44120,Los Fresnos,Los Fresnos,44120,1,0,70,71,43,1,70,70,1,42,42,0,0,42,3336.994798809999793,468133.358451000007335
334,335,44123,Los Huisaches,Los Huisaches,44123,0,0,14,15,14,4,14,15,0,13,13,4,0,14,5012.594098880000274,1169425.524789999937639
335,336,44142,Los Lobos,Los Lobos,44142,6,0,0,7,5,0,0,1,4,0,0,0,0,1,3819.221442179999940,368512.603242999990471
336,337,44145,Los Minerales,Los Minerales,44145,2,0,28,30,21,1,28,28,0,21,21,0,0,21,12532.234409599999708,2753605.700939999893308
337,338,44146,Los Nopalitos,Los Nopalitos,44146,0,0,49,49,27,0,49,49,0,27,27,0,0,27,2924.640169899999819,383632.485971999994945
338,339,44162,Lost Creek,Lost Creek,44162,957,140,114,1276,950,38,148,319,724,78,104,27,96,226,14575.731797300000835,5153255.800520000047982
339,340,44167,Los Veteranos I,Los Veteranos I,44167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6398.734604749999562,1019224.912669999990612
340,341,44168,Los Veteranos II,Los Veteranos II,44168,0,0,11,11,8,0,11,11,0,8,8,0,0,8,3281.711268049999944,412041.870282999996562
341,342,44212,Louise,Louise,44212,411,5,383,889,641,69,451,478,333,237,287,51,4,308,23345.197053600000800,17326601.790100000798702
342,343,44284,Loving,Loving,44284,129,0,9,143,120,0,9,14,109,9,9,0,0,11,9097.988313730000300,5103862.736189999617636
343,344,44344,Lozano,Lozano,44344,0,1,173,174,125,1,174,174,0,125,125,0,0,125,2369.550518139999895,307483.006723000027705
344,345,45276,Lyons,Lyons,45276,144,4,29,236,184,52,79,92,121,23,53,32,1,63,17645.848027399999410,7781554.099809999577701
345,346,45444,McCaulley,McCaulley,45444,72,1,6,79,58,0,6,7,55,2,2,0,1,3,8158.089205289999882,2251360.936340000014752
346,347,45564,McDade,McDade,45564,394,5,290,720,547,18,302,326,330,192,199,10,2,217,16219.492757599999095,10586759.008899999782443
347,348,45576,Macdona,Macdona,45576,68,7,369,464,356,14,380,396,63,275,282,8,1,293,11073.823383299999477,4023695.514460000209510
348,349,45750,McKinney Acres,McKinney Acres,45750,259,1,582,852,626,9,586,593,213,403,407,4,0,413,8803.864107479999802,4245702.432900000363588
349,350,45816,McLeod,McLeod,45816,272,9,5,311,241,2,7,39,211,4,6,2,5,30,13744.168423299999631,7064709.904579999856651
350,351,45948,McQueeney,McQueeney,45948,1456,21,777,2397,1968,66,835,941,1280,565,610,47,13,688,26736.854774899999029,11571872.468599999323487
351,352,46080,Magnolia Beach,Magnolia Beach,46080,178,2,25,217,187,5,29,39,161,14,16,2,0,26,7833.185020949999853,2643978.598209999967366
352,353,46308,Manchaca,Manchaca,46308,1198,88,843,2266,1752,90,908,1068,996,590,640,59,67,756,13056.989380099999835,5045664.004870000295341
353,354,46492,Manuel Garcia,Manuel Garcia,46492,1,2,203,204,155,0,203,203,1,154,154,0,2,154,1610.910023449999926,92488.349888800003100
354,355,46494,Manuel Garcia II,Manuel Garcia II,46494,1,0,59,62,43,0,59,61,1,41,41,0,0,42,1012.546989329999974,43118.877475100001902
355,356,46572,Marathon,Marathon,46572,209,3,190,410,353,1,190,201,197,148,148,0,3,156,18468.117361399999936,13580173.677699999883771
356,357,46716,Markham,Markham,46716,459,2,344,908,691,75,415,449,365,245,299,55,1,326,10442.756249000000025,5851897.038719999603927
357,358,46854,Martinez,Martinez,46854,3,2,34,42,32,0,34,39,2,29,29,0,0,30,2012.396753129999979,138641.455589999997756
358,359,47016,Matagorda,Matagorda,47016,276,2,23,313,292,8,29,37,262,18,23,7,1,30,10680.634069199999431,5261738.086430000141263
359,360,47100,Mauriceville,Mauriceville,47100,2514,37,277,2983,2254,34,311,469,1957,172,188,16,18,297,24369.008397099998547,21774188.948199998587370
360,361,47172,May,May,47172,224,0,38,277,212,2,40,53,180,24,24,0,0,32,9322.987028370000189,3837349.955459999851882
361,362,47406,Medina,Medina,47406,82,5,3860,3953,2597,10,3863,3871,61,2527,2530,9,2,2536,11447.046221399999922,4609572.414320000447333
362,363,47676,Mentone,Mentone,47676,17,1,1,22,11,1,1,5,9,0,0,0,0,2,3410.736076449999928,438548.002436999988277
363,364,47898,Mesquite,Mesquite,47898,10,0,468,479,357,0,468,469,8,348,348,0,0,349,1507.432572089999894,128807.634481000000960
364,365,48048,Midfield,Midfield,48048,132,2,219,356,233,4,222,224,100,130,131,1,2,133,4544.569759250000061,1194014.108449999941513
365,366,48272,Midway North,Midway North,48272,52,17,4165,4232,2985,16,4168,4180,30,2946,2947,9,11,2955,12466.912286200000381,4622378.383750000037253
366,367,48280,Midway South,Midway South,48280,45,17,2237,2307,1555,7,2238,2262,31,1509,1510,7,11,1524,8650.883214929999667,2578012.494390000123531
367,368,48315,Miguel Barrera,Miguel Barrera,48315,3,0,129,132,92,0,129,129,0,92,92,0,0,92,869.366846690999978,44842.822619200000190
368,369,48318,Mikes,Mikes,48318,2,0,937,942,616,0,937,940,1,613,613,0,0,615,2860.020770380000158,340137.749349999998230
369,370,48320,Mila Doce,Mila Doce,48320,88,15,6047,6162,3985,8,6049,6074,44,3929,3929,1,6,3941,17186.102076300001499,8264790.218030000105500
370,371,48324,Milam,Milam,48324,1181,12,56,1355,1133,64,115,174,1000,38,80,42,11,133,45995.554440599997179,102945343.728000000119209
371,372,48750,Mi Ranchito Estate,Mi Ranchito Estate,48750,5,0,402,409,272,0,402,404,1,271,271,0,0,271,3612.464923300000009,813033.338295000023209
372,373,48756,Mirando City,Mirando City,48756,6,3,213,222,173,2,213,216,6,164,164,0,3,167,4984.127709000000323,823776.668810999952257
373,374,48772,Mission Bend,Mission Bend,48772,3646,6251,16573,36914,27895,10756,26860,33268,3096,12004,19545,7809,5098,24799,31425.170624099999259,12049957.475099999457598
374,375,49032,Montague,Montague,49032,236,3,18,261,206,2,19,25,194,7,8,1,3,12,9812.623843969999143,3296687.715570000000298
375,376,49080,Monte Alto,Monte Alto,49080,28,6,1880,1930,1366,9,1884,1902,17,1336,1337,5,4,1349,9672.217997030000333,5840831.655299999751151
376,377,49224,Moore,Moore,49224,235,1,344,610,463,21,364,375,196,245,259,15,1,267,26277.167150000001129,15763059.006300000473857
377,378,49300,Moraida,Moraida,49300,0,0,229,229,137,0,229,229,0,137,137,0,0,137,1623.936633669999992,106388.090507999993861
378,379,49314,Morales-Sanchez,Morales-Sanchez,49314,3,0,42,46,36,2,43,43,3,32,33,2,0,33,10769.860136299999795,3645944.722680000122637
379,380,49359,Morgan Farm,Morgan Farm,49359,137,0,424,573,440,7,429,436,118,310,315,6,0,322,15482.487726999999722,8675364.287289999425411
380,381,49411,Morning Glory,Morning Glory,49411,11,3,508,522,407,4,509,511,11,395,395,3,2,396,9992.615806059999159,2766310.925600000191480
381,382,49440,Morse,Morse,49440,76,0,77,157,113,0,77,81,66,43,43,0,0,47,6660.405601489999754,1432419.224649999989197
382,383,49512,Mosheim,Mosheim,49512,40,0,8,48,35,0,8,8,28,7,7,0,0,7,5998.014094870000008,1754060.631009999895468
383,384,49572,Mound,Mound,49572,147,1,12,174,132,5,16,27,113,5,9,5,1,19,7971.635234260000288,1846161.072039999999106
384,385,50058,Muniz,Muniz,50058,20,2,1559,1593,997,6,1563,1573,12,977,978,2,1,985,6655.504154080000262,2755167.421740000136197
385,386,50092,Murillo,Murillo,50092,223,67,8820,9158,5995,33,8832,8935,150,5778,5787,21,48,5845,22749.190155200001755,15033320.468699999153614
386,387,50220,Myra,Myra,50220,173,3,12,202,160,3,15,29,148,6,6,0,0,12,7102.332700050000312,1319599.264699999941513
387,388,50232,Myrtle Springs,Myrtle Springs,50232,811,8,94,954,779,10,102,143,684,60,67,8,4,95,22673.694242099998519,19014627.965999998152256
388,389,50268,Nada,Nada,50268,200,2,24,231,193,0,24,31,167,21,21,0,0,26,21760.268083899998601,17548572.545200001448393
389,390,50322,Narciso Pena,Narciso Pena,50322,4,0,28,32,30,0,28,28,3,27,27,0,0,27,578.144753206000019,20528.548477299998922
390,391,50544,Neches,Neches,50544,221,4,20,266,196,8,28,45,171,4,11,7,4,25,8256.554099189999761,2619883.049540000036359
391,392,50742,Netos,Netos,50742,0,0,17,18,16,1,18,18,0,15,16,1,0,16,1408.254385960000036,96145.067635800005519
392,393,50924,New Falcon,New Falcon,50924,0,0,117,117,78,0,117,117,0,78,78,0,0,78,3250.146784120000120,509229.860780999995768
393,394,51384,New Ulm,New Ulm,51384,221,0,54,285,239,6,60,64,196,35,40,5,0,43,18639.773432800000592,14008811.246300000697374
394,395,51552,Nina,Nina,51552,3,0,121,124,97,1,121,121,2,95,95,1,0,95,1580.779043649999949,108174.521697000003769
395,396,51654,Nocona Hills,Nocona Hills,51654,552,4,38,637,560,6,43,85,495,23,28,6,4,65,21272.067859499999031,16296673.029100000858307
396,397,51828,Normandy,Normandy,51828,9,3,43,54,46,1,43,45,6,39,39,1,3,40,4146.586509419999857,663754.219358999980614
397,398,51852,Normanna,Normanna,51852,38,1,52,98,82,0,52,60,35,40,40,0,0,47,11015.853152199999386,3473164.771379999816418
398,399,51900,North Alamo,North Alamo,51900,211,6,3484,3722,2612,15,3488,3511,200,2395,2397,6,5,2412,11266.579384700000446,3686910.104559999890625
399,400,52068,North Escobares,North Escobares,52068,3,0,159,162,108,0,159,159,2,106,106,0,0,106,7206.772279019999587,1874573.597199999960139
400,401,52302,North Pearsall,North Pearsall,52302,105,3,626,739,546,1,626,634,82,460,460,1,0,464,11058.802867700000206,3681351.864010000135750
401,402,52404,North San Pedro,North San Pedro,52404,20,8,708,735,568,1,708,715,16,551,551,1,2,552,2032.277141580000034,250839.013570999988588
402,403,52992,Oakhurst,Oakhurst,52992,110,3,3,148,119,20,23,38,94,1,20,19,0,25,14996.195527600000787,3994068.037169999908656
403,404,53004,Oak Island,Oak Island,53004,201,75,71,371,299,13,84,170,171,47,59,12,57,128,8355.757196900000054,3099206.524819999933243
404,405,53212,Oak Trail Shores,Oak Trail Shores,53212,1687,17,1118,2979,2156,51,1167,1292,1346,679,704,26,13,810,11945.907645299999785,6558479.012799999676645
405,406,53556,Oilton,Oilton,53556,8,1,260,270,186,5,261,262,6,178,179,1,1,180,8396.903510539999843,3667899.114269999787211
406,407,53616,Oklaunion,Oklaunion,53616,54,2,28,88,66,1,29,34,49,12,13,1,2,17,4530.129464089999601,1157781.120289999991655
407,408,53934,Olivarez,Olivarez,53934,82,9,4145,4248,2848,20,4146,4166,56,2775,2776,5,6,2792,15138.809556099999099,9574102.629030000418425
408,409,53946,Olivia Lopez de Gutierrez,Olivia Lopez de Gutierrez,53946,0,0,49,49,42,0,49,49,0,42,42,0,0,42,788.906733928999984,24267.682384200001252
409,410,53964,Olmito,Olmito,53964,47,4,966,1021,752,6,969,974,33,713,715,5,1,719,6189.836459840000316,1878129.967189999995753
410,411,53970,Olmito and Olmito,Olmito and Olmito,53970,5,0,271,276,198,1,271,271,5,193,193,0,0,193,1181.454798140000094,72462.784599599996000
411,412,54186,Orason,Orason,54186,15,1,70,88,73,3,71,73,11,59,60,1,0,62,3762.122308900000007,857817.614044000045396
412,413,54509,Owl Ranch,Owl Ranch,54509,12,0,174,189,136,10,177,177,7,126,129,4,0,129,5666.243916280000121,1919880.258619999978691
413,414,54552,Ozona,Ozona,54552,788,14,1802,2663,2056,27,1822,1875,661,1340,1358,23,8,1395,26013.228803199999675,12032232.980900000780821
414,415,54558,Pablo Pena,Pablo Pena,54558,0,0,80,80,65,0,80,80,0,65,65,0,0,65,1005.210611230000040,40422.587252899997111
415,416,54624,Paige,Paige,54624,146,1,110,278,209,16,122,132,122,74,80,10,0,87,12138.119150000000445,5576652.032850000075996
416,417,54666,Paisano Park,Paisano Park,54666,18,0,74,96,76,2,75,78,13,60,60,1,0,63,2124.610733699999855,227172.090335999993840
417,418,54748,Palmer,Palmer,54748,20,1,1055,1082,648,4,1057,1062,10,633,635,4,0,638,7345.605812099999639,3063293.726660000160336
418,419,54810,Palmview South,Palmview South,54810,114,5,1881,2008,1432,10,1881,1894,104,1317,1317,6,3,1328,9375.084207949999836,2192299.762430000118911
419,420,54846,Palo Blanco,Palo Blanco,54846,0,0,238,238,176,0,238,238,0,176,176,0,0,176,1706.220395159999953,156442.620017000008374
420,421,54868,Paloma Creek,Paloma Creek,54868,1504,112,605,3177,2095,874,1445,1673,1051,384,889,519,71,1044,7721.228136800000357,1187311.338689999887720
421,422,54872,Paloma Creek South,Paloma Creek South,54872,3876,591,1560,9539,6545,3437,4834,5663,2910,972,3057,2139,417,3635,14276.946916499999134,3249663.975229999981821
422,423,54876,Palo Pinto,Palo Pinto,54876,207,5,47,276,235,8,54,69,172,41,48,7,5,63,7308.126187419999951,2238083.188279999885708
423,424,56252,Pawnee,Pawnee,56252,25,2,111,140,103,1,111,115,17,82,82,1,2,86,22884.931583500001580,13560188.419700000435114
424,425,56462,Pecan Acres,Pecan Acres,56462,3651,99,718,4808,3616,104,816,1157,2851,457,509,55,57,765,48695.545585899999423,53541446.046099998056889
425,426,56482,Pecan Grove,Pecan Grove,56482,12397,2721,4159,22782,16938,3249,7277,10385,9783,2774,4892,2186,1917,7155,47415.670368099999905,21809713.241900000721216
426,427,56498,Pecan Plantation,Pecan Plantation,56498,5672,74,290,6236,5586,41,327,564,5132,230,252,26,55,454,27484.004117000000406,19720654.584899999201298
427,428,56644,Pena,Pena,56644,2,0,71,73,46,0,71,71,1,45,45,0,0,45,893.458679864000032,38824.460710799998196
428,429,56660,Pendleton,Pendleton,56660,624,5,163,845,658,23,182,221,515,102,115,13,1,143,22103.753955200001656,11545108.175100000575185
429,430,56804,Perezville,Perezville,56804,755,5,1913,2685,2120,9,1917,1930,742,1362,1366,7,3,1378,6342.060642370000096,1954081.160820000106469
430,431,56864,Perrin,Perrin,56864,301,3,35,346,248,9,39,45,222,20,20,2,0,26,12607.513945200000308,4142982.202140000183135
431,432,57116,Pettus,Pettus,57116,183,4,252,449,336,1,252,266,160,170,170,0,2,176,21208.189831200001208,15051998.053500000387430
432,433,57128,Petty,Petty,57128,111,1,16,140,112,3,19,29,92,12,12,0,1,20,6170.883610619999672,1495645.041800000006333
433,434,57494,Pinebrook,Pinebrook,57494,206,1,243,485,313,11,254,279,158,131,135,4,1,155,13630.223299799999950,7129979.238800000399351
434,435,57566,Pine Harbor,Pine Harbor,57566,650,5,57,785,647,31,87,135,556,35,57,23,2,91,19508.477912800000922,12219784.651799999177456
435,436,57596,Pinehurst,Pinehurst,57596,2635,35,2325,5195,3753,123,2429,2560,2154,1428,1505,81,17,1599,33226.688696400000481,20481952.837699998170137
436,437,57752,Pinewood Estates,Pinewood Estates,57752,1398,12,109,1641,1206,57,166,243,1043,66,106,40,8,163,29473.359260400000494,34196859.320000000298023
437,438,57932,Placedo,Placedo,57932,127,11,462,625,497,16,477,498,103,369,379,11,6,394,5482.642487799999799,1444130.669220000039786
438,439,58232,Pleasant Hill,Pleasant Hill,58232,206,11,338,610,450,50,386,404,165,235,272,38,9,285,12195.451550800000405,6850929.568889999762177
439,440,58436,Plum,Plum,58436,168,1,154,366,280,46,195,198,143,107,134,27,1,137,15773.575804399999470,9055176.351399999111891
440,441,58850,Porter Heights,Porter Heights,58850,1076,20,717,1903,1395,44,755,827,851,456,480,25,16,544,13456.497318899999300,8331076.328569999895990
441,442,58928,Port Mansfield,Port Mansfield,58928,233,0,77,319,286,1,78,86,217,60,61,1,0,69,25968.828742999998212,16527990.110799999907613
442,443,58952,Port O'Connor,Port O'Connor,58952,790,3,135,954,865,3,137,164,728,111,112,2,2,137,22092.758670899998833,16331044.720499999821186
443,444,59108,Potosi,Potosi,59108,3112,99,511,3947,2899,91,581,835,2359,311,359,51,68,540,31512.229316699998890,47340320.310199998319149
444,445,59156,Powderly,Powderly,59156,1059,0,55,1261,995,52,107,202,859,39,71,32,0,136,20896.062992700000905,19287604.317800000309944
445,446,59210,Prado Verde,Prado Verde,59210,44,4,152,209,187,9,159,165,41,135,141,7,3,146,2585.050807109999823,335071.475332000001799
446,447,59216,Praesel,Praesel,59216,258,3,153,446,347,19,167,188,215,101,114,15,2,132,20206.563326999999845,13481372.590800000354648
447,448,59420,Preston,Preston,59420,1845,20,89,2101,1816,33,119,256,1618,67,83,16,13,198,26075.185019900000043,21015467.133000001311302
448,449,59528,Priddy,Priddy,59528,97,0,40,150,111,0,40,53,77,26,26,0,0,34,15177.892444499999328,10325268.591600000858307
449,450,59612,Proctor,Proctor,59612,67,1,22,93,65,2,22,26,48,15,15,0,1,17,4807.551617649999571,1045571.097059999941848
450,451,59794,Pueblo East,Pueblo East,59794,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2612.197266589999799,305647.474296999978833
451,452,59798,Pueblo Nuevo,Pueblo Nuevo,59798,12,0,419,432,290,1,420,420,10,279,280,1,0,280,5260.626151960000243,1506780.047149999998510
452,453,60020,Quail,Quail,60020,16,0,1,17,17,0,1,1,16,1,1,0,0,1,15195.842024100000344,8244884.228699999861419
453,454,60026,Quail Creek,Quail Creek,60026,1013,10,670,1800,1347,79,738,787,802,454,502,54,4,545,11715.441806299999371,7956747.845089999958873
454,455,60092,Quemado,Quemado,60092,10,0,149,162,120,3,152,152,8,109,112,3,0,112,2555.060099660000105,295062.764030000020284
455,456,60098,Quesada,Quesada,60098,1,0,5,7,4,1,6,6,0,3,4,1,0,4,1336.578089659999932,22496.442368600000918
456,457,60278,Radar Base,Radar Base,60278,5,0,86,93,68,0,86,88,5,62,62,0,0,63,8643.166304540000056,2873248.312570000067353
457,458,60290,Rafael Pena,Rafael Pena,60290,0,0,16,16,15,0,16,16,0,15,15,0,0,15,482.651224161000016,13125.322765099999742
458,459,60380,Ramireno,Ramireno,60380,0,0,6,6,5,0,6,6,0,5,5,0,0,5,9141.479841570000644,3793971.557659999933094
459,460,60408,Ramirez-Perez,Ramirez-Perez,60408,0,0,64,66,44,0,64,66,0,42,42,0,0,44,1484.605547809999962,84306.824262800000724
460,461,60422,Ramos,Ramos,60422,0,1,143,144,107,3,143,144,0,106,106,0,1,107,1879.667245800000046,79437.274135600004229
461,462,60458,Ranchette Estates,Ranchette Estates,60458,0,2,103,106,74,2,104,106,0,71,72,2,2,74,5068.640142180000112,1559961.135299999965355
462,463,60478,Ranchitos del Norte,Ranchitos del Norte,60478,1,0,213,214,141,0,213,213,1,140,140,0,0,140,4351.210680920000414,1058569.123630000045523
463,464,60480,Ranchitos East,Ranchitos East,60480,3,0,186,189,118,2,186,186,0,118,118,0,0,118,2538.194113420000122,157926.976465999992797
464,465,60482,Ranchitos Las Lomas,Ranchitos Las Lomas,60482,12,1,153,167,113,0,153,155,7,104,104,0,1,106,13363.117172800000844,9415164.406279999762774
465,466,60518,Rancho Alegre,Rancho Alegre,60518,77,2,1320,1415,1040,7,1324,1338,62,966,966,2,1,978,10472.361156999999366,3306912.306109999772161
466,467,60529,Rancho Banquete,Rancho Banquete,60529,17,0,435,459,313,5,438,442,13,294,296,2,0,300,14229.939433400000780,7412328.398900000378489
467,468,60534,Rancho Chico,Rancho Chico,60534,23,2,348,387,253,9,357,364,20,222,230,8,0,233,5070.459455340000204,1333395.765649999957532
468,469,60539,Ranchos Penitas West,Ranchos Penitas West,60539,21,0,445,466,313,0,445,445,14,299,299,0,0,299,12290.588983600000574,5355658.048740000464022
469,470,60554,Rancho Viejo,Rancho Viejo,60554,1,0,230,233,160,2,230,232,0,158,158,1,0,160,1448.723813220000011,95193.578569200006314
470,471,60608,Randolph AFB,Randolph AFB,60608,713,87,219,1280,828,247,436,567,455,140,297,171,47,373,17355.931166999998823,10735220.712700000032783
471,472,60686,Ratamosa,Ratamosa,60686,52,1,133,197,159,2,133,145,41,111,111,2,1,118,9846.448208840000007,5173769.554569999687374
472,473,60932,Realitos,Realitos,60932,1,1,117,121,95,1,118,120,1,91,92,1,1,94,6173.700430220000271,687700.769076999975368
473,474,61040,Redfield,Redfield,61040,259,5,86,392,286,38,121,133,214,42,64,23,4,72,11181.791150900000503,4078152.679289999883622
474,475,61076,Redford,Redford,61076,0,0,41,43,33,1,42,43,0,31,32,1,0,33,31073.267273000001296,19201574.223099999129772
475,476,61124,Redland,Redland,61124,502,8,293,1088,824,280,571,586,412,181,400,219,5,412,15066.988002300000517,10698737.978599999099970
476,477,61280,Red Rock,Red Rock,61280,272,1,123,410,314,3,125,138,222,78,80,2,1,92,16896.646531900001719,11651519.338600000366569
477,478,61352,Redwood,Redwood,61352,362,30,3536,4003,2886,67,3580,3641,298,2505,2536,39,23,2588,22039.054438300001493,16814200.766199998557568
478,479,61454,Regino Ramirez,Regino Ramirez,61454,0,0,119,120,71,0,119,120,0,70,70,0,0,71,1288.618525809999937,58437.879333999997471
479,480,61466,Reid Hope King,Reid Hope King,61466,21,3,640,667,446,4,641,646,21,422,423,2,0,425,4297.745455999999649,788231.327683000010438
480,481,61532,Relampago,Relampago,61532,4,2,124,129,93,0,124,125,4,89,89,0,1,89,10008.260681800000384,4003019.465549999848008
481,482,61568,Rendon,Rendon,61568,9200,249,2831,13533,10388,895,3659,4333,7461,1845,2418,595,157,2927,52345.354207999997016,63765509.441500000655651
482,483,61724,Ricardo,Ricardo,61724,226,6,832,1075,790,2,832,849,186,590,590,0,5,604,15600.331935899999735,11560417.041400000452995
483,484,61766,Rice Tracts,Rice Tracts,61766,94,3,628,733,510,1,629,639,73,432,433,1,1,437,12355.916374599999472,5276360.404780000448227
484,485,61784,Richards,Richards,61784,140,0,17,184,141,23,39,44,107,12,32,20,0,34,11400.679102599999169,4733044.742870000191033
485,486,62132,Ringgold,Ringgold,62132,110,0,18,146,123,2,20,36,94,17,18,1,0,29,9031.452154059999884,3921614.153950000181794
486,487,62318,Rivereno,Rivereno,62318,0,0,62,62,42,0,62,62,0,42,42,0,0,42,730.599939554999992,26052.421069899999566
487,488,62468,Riviera,Riviera,62468,161,6,430,609,463,9,437,448,132,319,322,3,4,331,15588.111422100000709,9589546.702810000628233
488,489,62624,Rochelle,Rochelle,62624,131,2,27,169,130,6,28,38,103,17,18,3,1,27,10202.785936000000220,4156446.030439999885857
