FID,OBJECTID,Place,Name,cdp_name,citycode,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
161,162,25352,Falcon Mesa,Falcon Mesa,25352,133,1,386,523,383,2,388,390,133,248,250,2,1,250,15033.603297699999530,8978948.404170000925660
162,163,25356,Falcon Village,Falcon Village,25356,0,0,3,3,1,0,3,3,0,1,1,0,0,1,11840.139205800000127,2160859.702829999849200
163,164,25397,Falman,Falman,25397,32,2,22,60,50,1,22,28,32,14,14,1,1,18,1771.664785400000028,195037.749527000007220
164,165,25404,Fannett,Fannett,25404,1785,75,260,2363,1839,183,436,578,1432,170,296,127,64,407,22896.119466500000271,25501142.179600000381470
165,166,25512,Farnsworth,Farnsworth,25512,61,1,25,95,70,3,27,34,45,17,19,2,0,25,7834.057942749999711,3488317.655040000099689
166,167,25744,Fernando Salinas,Fernando Salinas,25744,4,1,18,25,14,1,19,21,2,10,11,1,0,12,916.500754990000019,49070.021901200001594
167,168,25795,Fifth Street,Fifth Street,25795,42,15,2182,2284,1531,64,2228,2242,30,1452,1488,43,8,1501,8441.783024360000127,1891408.787930000107735
168,169,26004,Flat,Flat,26004,138,1,11,157,119,6,15,19,106,7,10,4,0,13,9192.007627499999217,2527776.927790000103414
169,170,26130,Flor del Rio,Flor del Rio,26130,1,0,98,101,72,0,98,100,0,72,72,0,0,72,1301.426338539999961,39816.432398600001761
170,171,26220,Flowella,Flowella,26220,0,1,117,117,79,0,117,117,0,79,79,0,1,79,6433.798839989999578,2586723.418930000159889
171,172,26280,Fluvanna,Fluvanna,26280,43,1,30,78,62,1,30,35,33,24,24,1,1,29,10076.610747999999148,3726520.132869999855757
172,173,26516,Forest Heights,Forest Heights,26516,1153,11,81,1329,1028,27,104,176,901,51,66,15,7,127,15992.327662300000156,7398651.317669999785721
173,174,26664,Fort Bliss,Fort Bliss,26664,4880,1088,2990,11260,7607,2063,4714,6380,3308,1906,3032,1348,840,4299,45605.095434599999862,46221433.137699998915195
174,175,26680,Fort Clark Springs,Fort Clark Springs,26680,798,24,336,1215,1016,11,343,417,709,237,243,6,17,307,12962.788103000000774,7701148.339110000059009
175,176,26688,Fort Davis,Fort Davis,26688,547,16,438,1024,836,11,443,477,479,330,332,4,7,357,32638.425911900001665,27846212.545800000429153
176,177,26724,Fort Hancock,Fort Hancock,26724,34,1,1016,1052,750,7,1016,1018,27,722,722,0,0,723,34052.266211699999985,49523678.787500001490116
177,178,26736,Fort Hood,Fort Hood,26736,13509,1532,6844,28295,20292,5972,12209,14786,10201,4714,8209,3813,1125,10091,62255.643572000000859,50126472.672100000083447
178,179,27102,Four Corners,Four Corners,27102,877,4154,3364,12103,9028,3774,7006,11226,681,2413,4978,2642,3298,8347,16342.195077300000776,6483909.205719999969006
179,180,27124,Four Points,Four Points,27124,1,0,9,10,7,1,9,9,1,6,6,1,0,6,6688.029420249999930,1338081.233550000004470
180,181,27144,Fowlerton,Fowlerton,27144,37,0,34,73,53,0,34,36,30,22,22,0,0,23,14479.538423500000135,5624314.814620000310242
181,182,27540,Fresno,Fresno,27540,898,440,8957,24486,17144,14547,23109,23588,754,5952,16003,10255,332,16390,55470.620428399997763,22178008.026900000870228
182,183,27744,Fronton,Fronton,27744,2,1,168,172,125,1,168,170,0,125,125,1,0,125,4898.729461339999943,1084985.834920000052080
