FID,FIPS,CNTYKEY,FENAME,anglo,asian,hisp,total,vap,black,bh,nanglo,anglovap,hispvap,bhvap,blackvap,asianvap,nanglovap,Shape_Leng,Shape_Area
188,377,189,PRESIDIO,961,102,4991,6131,4672,47,5032,5170,856,3688,3708,22,70,3816,554055.057874000049196,9948905908.620000839233398
189,379,190,RAINS,10130,103,1109,12164,9646,360,1446,2034,8229,703,936,242,84,1417,137084.200726999988547,668081210.552000045776367
190,381,191,RANDALL,95457,3550,31583,140753,106753,6592,37395,45296,76414,20601,24398,4045,2426,30339,195720.261988999991445,2389396885.480000019073486
191,383,192,REAGAN,968,44,2283,3385,2402,78,2339,2417,786,1514,1557,50,35,1616,222374.948433000012301,3032927672.460000038146973
192,385,193,REAL,1940,28,692,2758,2282,50,731,818,1706,482,501,26,15,576,192972.792722000012873,1806456752.680000066757202
193,387,194,RED RIVER,8499,97,766,11587,9279,1895,2608,3088,6988,473,1904,1453,72,2291,356916.785663000016939,2730220010.150000095367432
194,389,195,REEVES,1697,205,12510,14748,11619,332,12748,13051,1438,9739,9938,261,160,10181,475119.495363999973051,6813972153.840000152587891
195,391,196,REFUGIO,2864,61,3306,6741,5244,534,3735,3877,2399,2412,2741,374,32,2845,305432.660272000008263,2115446444.740000009536743
196,393,197,ROBERTS,717,15,50,827,626,21,65,110,556,29,40,12,2,70,196019.926302000007126,2399406148.909999847412109
197,395,198,ROBERTSON,9505,145,3528,16757,12722,3381,6789,7252,7677,2309,4683,2404,107,5045,258477.455596000014339,2232659721.030000209808350
198,397,199,ROCKWALL,70198,4533,20560,107819,78525,9772,29811,37621,53648,13181,19350,6387,3067,24877,78693.343079400001443,384432929.852999985218048
199,399,200,RUNNELS,6062,65,3354,9900,7636,252,3560,3838,4970,2283,2439,173,45,2666,208924.088783999992302,2726563869.730000019073486
200,401,201,RUSK,32022,349,9579,52214,40718,9032,18445,20192,26062,6360,13306,7019,246,14656,249574.535957999993116,2421167452.300000190734863
201,403,202,SABINE,8307,82,393,9894,8063,852,1200,1587,6911,251,827,593,64,1152,207155.359167999995407,1487117969.880000114440918
202,405,203,SAN AUGUSTINE,5270,64,639,7918,6286,1897,2487,2648,4396,394,1763,1397,37,1890,262262.653089000028558,1527542573.539999961853027
203,407,204,SAN JACINTO,19170,176,4822,27402,21447,2412,7143,8232,15714,3087,4854,1830,130,5733,225897.904309000005014,1619549933.240000009536743
204,409,205,SAN PATRICIO,26613,1278,38220,68755,51377,1725,39491,42142,21755,26738,27651,1108,874,29622,324684.671590999991167,1831322513.480000019073486
205,411,206,SAN SABA,3690,53,1749,5730,4606,150,1879,2040,3154,1211,1327,135,40,1452,319253.446002000011504,2936214039.889999866485596
206,413,207,SCHLEICHER,1102,28,1275,2451,1867,44,1296,1349,932,873,892,33,16,935,244805.319932999991579,3380282677.780000209808350
207,415,208,SCURRY,8637,140,7139,16932,12649,812,7853,8295,7010,4731,5305,600,83,5639,193350.719725000002654,2342256365.059999942779541
208,417,209,SHACKELFORD,2612,33,363,3105,2362,46,394,493,2051,228,238,18,21,311,194528.178952999995090,2362890472.650000095367432
209,419,210,SHELBY,14416,458,4685,24022,18071,4095,8702,9606,11490,2963,5920,2977,292,6581,267752.702412999991793,2152688174.309999942779541
210,421,211,SHERMAN,1362,24,1315,2782,1974,60,1354,1420,1060,841,864,36,16,914,195976.334693999990122,2399575669.719999790191650
211,423,212,SMITH,134452,5402,47281,233479,177458,41819,87936,99027,109026,30191,60116,30424,3848,68432,298442.409077999996953,2450353100.030000209808350
212,425,213,SOMERVELL,7011,93,1687,9205,6968,115,1773,2194,5543,1066,1114,60,59,1425,91703.859124900001916,494970089.124000012874603
213,427,214,STARR,1171,152,64393,65920,46110,162,64454,64749,846,45030,45085,118,104,45264,270180.633449000015389,3190182338.840000152587891
214,429,215,STEPHENS,6256,89,2204,9101,7127,327,2503,2845,5164,1459,1694,249,52,1963,194923.200436999992235,2378223420.420000076293945
215,431,216,STERLING,867,29,449,1372,1015,22,465,505,674,309,316,8,8,341,201157.718787999998312,2382016307.659999847412109
216,433,217,STONEWALL,958,9,226,1245,1003,41,256,287,812,141,165,30,9,191,195043.255569000000833,2376144096.429999828338623
217,435,218,SUTTON,1200,24,2093,3372,2555,32,2111,2172,1015,1495,1503,15,13,1540,254537.516246999992291,3751477434.989999771118164
218,437,219,SWISHER,3219,44,3147,6971,5269,524,3597,3752,2636,2153,2504,371,27,2633,193181.789576999988640,2330822337.079999923706055
219,439,220,TARRANT,904884,152028,620907,2110640,1574046,404404,1007510,1205756,738298,414177,687310,281397,111301,835748,193411.858474999986356,2332681010.489999771118164
220,441,221,TAYLOR,87316,4299,34756,143208,108565,14655,47874,55892,70531,22891,31869,9512,3075,38034,194897.744257000013022,2371751834.590000152587891
221,443,222,TERRELL,352,13,370,760,616,22,384,408,311,278,287,10,4,305,398495.749779000005219,6083158450.250000000000000
222,445,223,TERRY,4599,78,6569,11831,8582,540,7009,7232,3598,4454,4818,394,57,4984,191911.041900000011083,2300471447.510000228881836
223,447,224,THROCKMORTON,1248,8,145,1440,1128,17,156,192,1003,92,96,4,5,125,194497.935249000001932,2363846721.190000057220459
224,449,225,TITUS,13410,329,13680,31247,22655,3347,16829,17837,10954,8621,10932,2386,214,11701,205177.972761999990325,1099096631.019999980926514
225,451,226,TOM GREEN,62390,2752,47066,120003,91755,6070,52091,57613,51049,32675,36430,4174,1959,40706,352252.326273999991827,3973147010.420000076293945
226,453,227,TRAVIS,612824,122447,421110,1290188,1016490,120370,530292,677364,516527,301758,385747,90303,93487,499963,253727.264618999994127,2644104265.719999790191650
227,455,228,TRINITY,10533,100,1314,13602,10982,1269,2561,3069,8816,830,1744,923,68,2166,229085.172112000000197,1841323104.599999904632568
228,457,229,TYLER,15302,146,1520,19798,15975,2282,3771,4496,12430,1172,2966,1812,111,3545,272186.425618999986909,2413080506.659999847412109
229,459,230,UPSHUR,31287,319,3986,40892,30854,3592,7462,9605,24390,2354,4871,2557,209,6464,184866.105580000003101,1529370772.839999914169312
230,461,231,UPTON,1318,32,1797,3308,2438,120,1886,1990,1062,1222,1297,90,22,1376,227159.532502999994904,3201842153.989999771118164
231,463,232,UVALDE,6613,206,17317,24564,18480,268,17462,17951,5564,12415,12531,169,147,12916,254337.538284000009298,4023762610.760000228881836
232,465,233,VAL VERDE,7836,574,38207,47586,34971,962,38861,39750,6694,27098,27598,638,423,28277,459520.586485999985598,8341341504.949999809265137
233,467,234,VAN ZANDT,47986,481,7071,59541,45970,2018,9001,11555,38231,4482,5800,1352,320,7739,245968.632859000004828,2218203900.760000228881836
234,469,235,VICTORIA,39330,1758,42931,91319,68803,6843,48751,51989,32364,29639,33955,4655,1291,36439,286747.945024000015110,2296242131.280000209808350
235,471,236,WALKER,39823,1335,16578,76400,64843,17359,33580,36577,34638,13445,27707,14489,1101,30205,223004.045791999989888,2067172121.630000114440918
236,473,237,WALLER,23494,1063,18486,56794,43199,12827,30985,33300,18720,12106,22737,10764,707,24479,254866.328497000009520,1336120637.210000038146973
237,475,238,WARD,4506,113,6325,11644,8486,666,6847,7138,3555,4369,4734,422,70,4931,297558.362818000023253,2155680001.320000171661377
238,477,239,WASHINGTON,22023,694,6425,35805,28261,6044,12288,13782,18519,4123,8610,4556,522,9742,264443.598803000000771,1603936876.549999952316284
239,479,240,WEBB,9495,1774,254354,267114,186454,1647,255249,257619,7194,176805,177545,1182,1323,179260,492333.149902999983169,8736457086.239999771118164
240,481,241,WHARTON,18130,264,16967,41570,31314,6038,22632,23440,15012,11444,15692,4375,188,16302,255352.953983000013977,2825471666.079999923706055
241,483,242,WHEELER,3469,53,1227,4990,3773,137,1345,1521,2834,738,805,77,32,939,194999.973411999992095,2373927944.489999771118164
242,485,243,WICHITA,79694,3968,25803,129350,100692,16588,41265,49656,65394,17506,28810,11814,2905,35298,186950.086646000010660,1636043738.140000104904175
243,487,244,WILBARGER,7012,632,3734,12887,9921,1259,4910,5875,5893,2473,3372,917,424,4028,256043.478854999993928,2528633507.389999866485596
244,489,245,WILLACY,1805,211,17611,20164,15484,558,18074,18359,1574,13196,13643,482,195,13910,229111.255923999997322,2037362886.400000095367432
245,491,246,WILLIAMSON,336410,64796,147088,609017,453045,51215,193110,272607,267332,98419,130620,34588,43472,185713,251911.401630000007572,2919357513.440000057220459
246,493,247,WILSON,27877,545,19232,49753,37771,1101,20140,21876,22203,13543,14270,826,357,15568,198031.087353000009898,2087426190.519999980926514
247,495,248,WINKLER,2702,114,4732,7791,5602,210,4883,5089,2151,3192,3308,138,81,3451,196054.327071000006981,2169914317.449999809265137
248,497,249,WISE,50495,644,13694,68632,51836,1261,14767,18137,39787,8787,9482,768,423,12049,195563.962318000005325,2382225517.639999866485596
249,499,250,WOOD,35906,367,4894,44843,36551,2121,6908,8937,30105,3278,4829,1603,272,6446,228476.416289999993751,1795629474.490000009536743
250,501,251,YOAKUM,2488,72,4968,7694,5473,110,5057,5206,1977,3330,3382,56,38,3496,181902.545340999990003,2064951365.299999952316284
251,503,252,YOUNG,13409,132,3508,17867,13648,324,3790,4458,10760,2193,2373,191,87,2888,196418.972905000002356,2403548749.260000228881836
252,505,253,ZAPATA,796,41,12999,13889,9592,39,13017,13093,691,8837,8851,31,26,8901,238439.458741999987978,2742975180.510000228881836
253,507,254,ZAVALA,572,42,8944,9670,6919,133,9022,9098,442,6380,6425,68,37,6477,235281.862988999986555,3362606434.019999980926514
