district_id,cluster_norace_k10,dist_to_centroid
1,9,1.3977076643528588
2,9,0.7089644836758698
3,5,0.7115554671724383
4,0,0.6871052189686512
5,5,0.8349265402626378
6,1,0.5607504397734202
7,4,0.5137990448289922
8,0,0.7070252304851591
9,1,0.7624347503888222
10,0,0.6378811310250332
11,3,0.7018479795291809
12,1,0.5810162704191038
13,3,0.7018479795291805
14,0,1.1479367215614422
15,0,0.9031927517802372
16,6,0.9535700205678634
17,9,1.0009773620932922
18,8,0.9330798038807523
19,7,0.0
20,8,0.9330798038807513
21,1,0.6525837306988564
22,9,1.0785401554738285
23,5,0.4009766150839967
24,5,0.7014663422720375
25,1,0.8012136364307425
26,9,0.8518928525033952
27,0,0.8848908661251458
28,1,0.9403627955483861
29,2,0.6251770176591329
30,6,0.9535700205678626
31,1,0.9137930205750471
32,5,1.2019458691027456
33,4,0.5137990448289904
34,1,1.2874146171775038
35,1,0.6084805714247166
36,0,0.447548909494176
37,2,0.6251770176591329
38,9,0.7054878692009201
