district_id,cluster_full_k5,dist_to_centroid
1,2,1.914327984430772
2,0,1.5166535530484913
3,2,2.1760986636136654
4,0,2.199096483296789
5,2,1.9236149170486245
6,2,0.3385520709726042
7,0,3.1028923493983593
8,0,1.0056269631111905
9,1,1.943921943575068
10,0,1.147078714753692
11,0,2.091754126167962
12,2,0.7835768988123838
13,2,1.9342047693737532
14,0,1.7656474356882033
15,1,3.1353946361593903
16,1,1.0628649333246396
17,2,1.2276515447217982
18,3,1.5369176811670897
19,2,4.150724000866269
20,1,1.9973480887370165
21,2,1.2864120729808168
22,2,2.337867500166275
23,1,1.3261680309057478
24,0,1.7942725952411838
25,2,1.1905948232999168
26,0,1.2208625755221323
27,0,2.0070908085727734
28,1,1.574500450621291
29,4,0.0
30,3,1.536917681167089
31,2,1.3165887134381389
32,0,1.7479338667955862
33,0,2.4745734824957117
34,1,1.391918785026549
35,1,1.9826746331160265
36,0,0.97701468161515
37,2,1.4415330165207418
38,0,1.389099496122638
