district_id,polsby_popper,schwartzberg,convex_hull_ratio,reock,pct_white,pct_black,pct_asian,pct_hispanic,dem_share,rep_share
1,0.1935749160393836,0.4399714945759369,0.7229696640779733,0.4075703957727634,0.629943219368389,0.1864954828083748,0.0152435754151283,0.1440345735570418,0.3088794203523034,0.6703124626448606
2,0.1652317649251301,0.4064871030243519,0.6252695580727702,0.4173509735492852,0.5350455184664348,0.1179331460914888,0.0732658379721786,0.2538886443404789,0.3086226543722849,0.6705721067481426
3,0.2167611531410567,0.4655761518173548,0.8054449740133381,0.2739159025289541,0.5780763444246177,0.114004703161283,0.1088061815081421,0.1741072004036542,0.3085099420385186,0.6706854064988919
4,0.1034616114100747,0.3216544907351283,0.5741899248437706,0.2227515051792337,0.6084668614152049,0.0975592560991482,0.1560796251572691,0.1089748224847792,0.3085043608762645,0.6706810113776119
5,0.1844651406154343,0.4294940518976186,0.8231711779987673,0.3101834367379741,0.5157017475418105,0.1619547210483436,0.0386868849990111,0.2633560568808438,0.3085152424584487,0.6706836634456652
6,0.2689003595971586,0.5185560332279999,0.7549867043476441,0.4360066593339756,0.5073540174674857,0.1261685198537689,0.0579755715424191,0.2850257783656895,0.3086226543722849,0.6705721067481426
7,0.1094534811658577,0.3308375449761676,0.4806373256649821,0.1838827752406568,0.3185530142036938,0.1557270156586225,0.1874070382653889,0.3323500153703099,0.3086226543722849,0.6705721067481426
8,0.1359344717439805,0.3686929233711714,0.5564595561734811,0.3226384939900759,0.4220181710494226,0.1735308122002299,0.0766637117097587,0.3137931968891659,0.3085719182226343,0.6706238218545155
9,0.3397686261567678,0.5828967542856692,0.7252065865363144,0.4492853038632651,0.2768107972632768,0.1024961938001025,0.0195098138235195,0.5924710186400924,0.3086175754952158,0.6705781373617351
10,0.1448466880364612,0.3805872935825121,0.6085029677184698,0.23624528864001,0.6290915097693492,0.0990078032699759,0.0631964319700653,0.1874580300424098,0.3083734912342259,0.6708281586662748
11,0.2157136821416014,0.4644498704290931,0.6822191758680223,0.2050516044577137,0.5091251379402632,0.0689133056902879,0.0438530885787295,0.3592496049684158,0.3085617232287866,0.670631042836226
12,0.2854890780170328,0.5343117797850173,0.792735473457932,0.4733353767428193,0.5327280820152779,0.0989942712566293,0.0441233977449042,0.3025205389595996,0.3087104037024297,0.6704854606289923
13,0.2866164900892411,0.5353657535640856,0.6777555356655888,0.2647626248595046,0.6169213421446617,0.0770553770227403,0.0313363943892537,0.246880088688886,0.3078874640607328,0.6712618973861769
14,0.139885325351817,0.3740124668401001,0.4550969418654257,0.1800843148205873,0.5357962545952154,0.164742640894397,0.0632810063228721,0.2178280835044613,0.3086102566396162,0.6705875726990974
15,0.1328071475976341,0.364427149918381,0.5536643909579934,0.1721452458342641,0.1720196487715726,0.0197378773487429,0.0126871458282381,0.790722761596548,0.3088542762979288,0.6703330459832098
16,0.2913662497245654,0.5397835211680377,0.7655520307932709,0.3288026618421747,0.1280694804421935,0.0402898452891258,0.0211095340198713,0.8100834753011524,0.3067482821184735,0.672448475805098
17,0.2405858962877022,0.4904955619449602,0.6523888569547803,0.4482112556957031,0.5890312489112117,0.1154601517243655,0.0581518380579868,0.2153169359526599,0.3085261150606798,0.6706728125793078
18,0.2009919095409517,0.4483212124592721,0.6047255473649521,0.2656381852838627,0.1462739803357202,0.455613344671426,0.078135758678405,0.3212982955107265,0.3085936897515057,0.6706008492938721
19,0.5320314422296495,0.7294048548163423,0.8390233672910969,0.4996106164862746,0.5364535502271632,0.0738670427884765,0.0241527729164572,0.3477677008861273,0.3082326181195145,0.6709523942012269
20,0.1454830685656364,0.3814224279793158,0.7052049796953935,0.291554354126543,0.1784089198670819,0.1049450613067188,0.0331967102393991,0.6831637122887456,0.3086226543722849,0.6705721067481426
21,0.3063371360486473,0.5534773130387978,0.8302707747586362,0.4508022429828738,0.5759271828795731,0.0470477750124797,0.0420630559775328,0.3172030267443823,0.3086010366990926,0.6705942188926352
22,0.2022730415022378,0.4497477531930958,0.779703323051838,0.4369660989337669,0.4624963881102217,0.1134133390373047,0.1374300606797482,0.2722051478341795,0.3085852517608792,0.6706100741942163
23,0.2165999914879984,0.4654030419840403,0.747566621284293,0.2704752640829351,0.3278893814830682,0.0483733084171572,0.0374925125469359,0.5792603850247062,0.3085377436502102,0.6706569886941196
24,0.195909677791852,0.4426168521326905,0.7025990879101676,0.3092188622216706,0.6421227094425999,0.0763680370614423,0.1000279275053071,0.1557825451266503,0.3086226543722849,0.6705721067481426
25,0.2734688010695666,0.5229424452743979,0.7068058926145957,0.4455374488540078,0.503684936570764,0.2009899829593097,0.0344654723156404,0.2412186347612049,0.3084969248586988,0.6706714412645813
26,0.1558077947554678,0.3947249608974175,0.6355994275595799,0.3647677134933086,0.5896241409170129,0.1056146850668449,0.0989575911696682,0.1801233498847248,0.3090896041558133,0.6700850491448681
27,0.1347318308460691,0.3670583480130496,0.5592759268493952,0.341668246157592,0.476926539548259,0.0767937292716453,0.0212515043460953,0.4093402454199985,0.3085705602713211,0.6706255647144223
28,0.2918303936674826,0.5402132853489283,0.7193637683044978,0.3829696646349751,0.083555259019206,0.0071238621741409,0.0080007625220416,0.897761044655197,0.3084400116184861,0.6707558850373846
29,0.2326713664556051,0.4823602040546101,0.7419871932502692,0.504421235736495,0.1248752932424919,0.2750406326095337,0.040586116917307,0.5588005679847969,0.0957446808510638,0.898936170212766
30,0.3523335968920416,0.5935769511125256,0.786475869193428,0.3272962785371446,0.1513061515524729,0.4708590689792479,0.0523720008519386,0.3219327894507774,0.3086226543722849,0.6705721067481426
31,0.3089958006465577,0.5558739071467176,0.8257848930446415,0.5062415063070765,0.5682543240180244,0.1565214090632213,0.0488985932142424,0.2052302136297169,0.3097279958573668,0.6693841737440075
32,0.161279214553982,0.4015958348314659,0.7245934383845269,0.1651080270664875,0.5245786304219663,0.134348455675821,0.1031182150280616,0.2170781361598595,0.3085575161306114,0.670638268797362
33,0.1090149702889188,0.3301741514548328,0.4542867117101131,0.2674138220161788,0.2630953124827705,0.1554566405575179,0.0628843319378232,0.5098451461609995,0.3086226543722849,0.6705721067481426
34,0.3089982349811499,0.5558760967887987,0.8291519113435198,0.3325521777813171,0.2118140995737437,0.0241082270660252,0.0199453736775195,0.737888019599953,0.3092138103958952,0.6699888953275788
35,0.3084686003956122,0.5553994962147627,0.7406835845778317,0.4734530013684634,0.3456905123627237,0.0814121117358084,0.0256125915329481,0.537788645293885,0.3085443862125072,0.6706417611454357
36,0.1335328529789376,0.3654214730676587,0.5363019593852582,0.2930055612266218,0.4865102878421353,0.1861650947242532,0.0735524086506663,0.2385384106620278,0.3082245418667592,0.6709777126045158
37,0.2125485001680921,0.4610298256816929,0.7377776975580088,0.4869709571455156,0.4710288729198696,0.094339878223059,0.078335489376689,0.3441366908911119,0.3081376443517379,0.6710563440297933
38,0.1916352668441537,0.4377616552921849,0.6412352530027013,0.3508037963397107,0.5211462828555576,0.1067529875574457,0.1175064901620315,0.2399362250453033,0.3086226543722849,0.6705721067481426
