k,silhouette_mean,silhouette_std,ch_mean,db_mean,inertia_mean
3,0.4175162643399958,0.0,41.219877351100415,0.5931241236556891,67.94973320776575
2,0.37984696049016514,0.0,21.079429796429864,0.95228419049556,143.79961448937573
6,0.3550479558125309,0.0016763440886518543,48.55717127936835,0.6889151362350658,26.55239074402805
5,0.3528725401874259,0.0009578362487280421,45.80886745355029,0.6319483962712541,34.79562142365257
4,0.34390923799868733,0.0,43.60667012297456,0.7210480015691692,47.03312408880672
7,0.31888208880360847,0.019737350148412353,47.884462441709005,0.7178619178474875,22.2118172744428
8,0.29110191031057286,0.007581496687206847,48.93413434220689,0.7221190579589868,18.362740687526816
10,0.2826469061899313,0.01082323678956179,47.18750696904301,0.7928935826291802,14.11114459660943
11,0.27974230340797257,0.017062935155764233,45.8368143818211,0.7616241280439989,12.69202000000224
9,0.2753373884081224,0.008974780562937568,47.33421149353932,0.7934490373238162,16.225271075324105
12,0.2690920154762189,0.009301121464663008,45.379543634966474,0.7418131162328668,11.292221358991009
