district_id,cluster_full
1,17
2,26
3,20
4,8
5,12
6,1
7,15
8,37
9,9
10,23
11,10
12,22
13,24
14,25
15,0
16,4
17,31
18,5
19,6
20,18
21,35
22,19
23,21
24,28
25,30
26,29
27,14
28,33
29,2
30,11
31,32
32,13
33,16
34,34
35,36
36,3
37,27
38,7
