feature,VIF
pct_hispanic,5.749240587169773
majority_race_pct_hispanic,3.989780800608957
majority_race_pct_white,2.0812053580653114
pct_asian,1.613001864135441
compactness_pca_score,1.2876369515344246
pct_black,1.258541508375935
