index,cooks_d,leverage,residual
32,0.38177435246302077,0.33546850865265215,0.5288368614354905
6,0.22729825620800884,0.5270027071212164,0.23172822822514838
36,0.16622024934552246,0.1065576751205213,0.8324243504492769
27,0.09900235573337296,0.3845956649150767,-0.23292160832167771
21,0.09354610947747455,0.22180781977362352,-0.3769987914981964
35,0.0476127865698417,0.16376508704993586,-0.336362903051996
28,0.04540034132359565,0.6208673735028546,0.0764803657798031
3,0.02627007397554502,0.33242938004314504,-0.13999316105067436
14,0.023141632039949865,0.3650391445818073,-0.11926221810111284
34,0.021246491508837048,0.35652201404115563,-0.11718250760081575
12,0.017392103141587727,0.1332816306077337,0.233559512805434
13,0.014770793661797196,0.1687347101130754,-0.1834712434974646
20,0.014654004139215287,0.15263382196471972,0.19586306568944484
33,0.013947592053699274,0.2415633496044613,-0.13595089319168882
18,0.010608191661047072,0.3147588761401898,0.09384340592915977
31,0.00549561783923109,0.07348870130084795,-0.18900676676078024
4,0.005356634753748561,0.13035565768323248,-0.13150776827052194
2,0.004572889367540213,0.133784976494922,-0.11946647314906259
9,0.004019583024152391,0.14700897829419235,0.10521839894192109
26,0.003540735474370333,0.27185858564183163,0.06198970999252354
30,0.002779059788467579,0.15159013856491674,-0.08569349089883757
5,0.0027759111599446155,0.0856427927854934,-0.12280100481244818
1,0.001776154685220524,0.054452066721952706,-0.12739295618319954
10,0.0013647203175076847,0.11936469872253525,0.07024390117238383
29,0.0002535911041861977,0.5234841270986393,0.007823863722978053
17,0.0002535911041860897,0.5234841270986393,-0.007823863722978386
25,0.00010523588019138266,0.11270316496470151,-0.020226067499543726
0,5.098492211353031e-05,0.2477542213959279,0.008050053467434232
