cntyvtd,district_id,dem_share,rep_share,pct_white,pct_black,pct_asian,pct_hispanic,polsby_popper,convex_hull_ratio,schwartzberg,reock
20500107,15,0.0,0.0,0.46075085118389353,0.020477815351578887,1.6852792493966578e-10,0.5119453941549775,0.41446743997486085,0.7973839471405839,1.5532980273120067,0.4344464034646857
20500108,15,0.0,0.0,0.47016097404673135,0.026305457878533306,0.022968197821651683,0.44915586903729954,0.2615400010638728,0.6607746530823121,1.955378967104472,0.4306937955037088
20500109,27,0.0,0.0,0.4740701957671198,0.022786799312328562,0.019119957948763717,0.46149816470906735,0.33848863819912745,0.7605932600907167,1.7188103184158912,0.5428818924339657
20500110,15,0.0,0.0,0.2980632953304827,0.014170996895320174,0.005668398734894722,0.673122345354745,0.27374518700059464,0.8182469745922487,1.9112907322454966,0.5027142742936916
20500111,15,0.0,0.0,0.8108108037928243,0.005405405360746145,2.212259058579056e-11,0.18378379078599963,0.23029776511973699,0.6095983185483967,2.0837957036503143,0.3979569139311003
20500112,15,0.0,0.0,0.14801061371556481,0.018567639025920728,0.004774535773296224,0.8254641865863154,0.277194700092599,0.6155447352573364,1.899361098436353,0.1780878702680078
20500113,15,0.0,0.0,0.30290311489812827,0.01713885973849467,0.028681357315510678,0.6362364441761471,0.3506955522831669,0.7070154698501023,1.6886314401735512,0.3015426583587696
20500114,27,0.0,0.0,0.5396145594153469,0.019985724452134406,0.016059957346174165,0.40221270628225164,0.5560968409714243,0.8471390022187967,1.3409876741814162,0.48513003695924184
20500115,27,0.0,0.0,0.5805358285347716,0.027598450651421007,0.01597805026619037,0.3516785034927337,0.30737993138250314,0.7202320834922,1.803691444754108,0.38754439140186137
20500116,27,0.0,0.0,0.6540016163300962,0.026677445323532903,0.055510643998058586,0.24252223145649762,0.6064834451825561,0.8545952304881902,1.2840753961861775,0.49452260323665237
20500117,15,0.0,0.0,0.39389736511756646,0.009708737902544172,0.0013869625595417244,0.5714285708820089,0.5009443990636756,0.8403808837937984,1.4128798694194213,0.4226318620752699
