k,silhouette_mean,silhouette_std,ch_mean,db_mean,inertia_mean
2,0.27888532688805745,0.013446972440527937,12.769572641079796,1.5335419098458347,280.50330324842923
5,0.26876428148552717,0.010173172829085267,13.3119872198212,1.0790194674762692,145.42150873278445
3,0.2617399949892924,0.008346843135153955,13.66593588596669,1.2077807900613386,213.37635259857012
4,0.26160942389363273,0.011047103370813568,13.760811754111597,1.1305668726532634,171.6540745394498
7,0.24019920682714538,0.025085024393391234,12.0235755920919,1.009994039321197,114.23671570581114
8,0.23243315901378886,0.013880604033792682,12.218731198208534,1.0012965839342887,98.69758147565332
10,0.229483141732778,0.008874893538441123,12.359704685089545,0.9022638349896189,76.45582712033551
9,0.2290974742631538,0.00651493423055934,12.437709207583996,0.9706516590068741,85.80921119474569
6,0.22817303032525244,0.03334875662221308,12.35441900253534,1.1256634539726798,129.7081531696022
11,0.22601832742482558,0.011084805714833027,12.04511461369582,0.8707232780909656,69.62361291709553
12,0.22062786139971383,0.01004252125787238,12.000934257544218,0.7920644664732999,62.5410231429869
