k,silhouette_mean,silhouette_std,ch_mean,db_mean,inertia_mean
10,0.3491959016775844,0.02366952621902122,23.559210305034842,0.7491490911886249,26.635956270258447
9,0.33936218766915616,0.006931765572787381,22.51962345188671,0.7841920260759381,31.619045803530405
3,0.3364311855432943,0.00023223374851923546,21.381093776824805,0.9375804086485525,102.62065545169321
8,0.33282846045608183,0.010031562864109212,22.281528100032133,0.8262937481923224,36.79173696970687
7,0.3249904118034439,0.008897616507382288,22.20475674853068,0.8563174531287954,43.06142985821872
6,0.3194226667413457,0.007533328425974918,22.717861980156474,0.8454366003401665,50.12144451500147
11,0.3192501925285093,0.02136597457316802,23.813238513247036,0.7506227027999712,23.238671507783828
12,0.3152708180756387,0.013360032964044134,24.310747882863534,0.7061605962511989,20.2060448760809
2,0.3119253940189801,0.0,20.500777541819872,1.1692069427339178,145.2723370740293
5,0.30160389205108296,0.0024195345299776643,20.98864045474361,0.9227724432354334,64.33269588007059
4,0.30031773036247666,0.015819371169926003,21.140915006667175,1.0053364918706487,79.58064823840768
